score,keyword
9.0,tender internal organs
9.0,shotgun buyer beware
9.0,serious flaw imho
9.0,screach bam bang
9.0,ritalin addled kids
9.0,occasionally flagrantly cheats
9.0,movietv showbookcomic established
9.0,honestly suprisingly dogshit
9.0,film stills reading
9.0,fellow homo sapiens
9.0,fallout style looting
9.0,enjoyed horrid maps
9.0,crouchsneak charade intertwined
9.0,buddy steve owes
9.0,boogie boogie boo
9.0,boasting surprise surprise
9.0,american cheese slices
8.8,audible splash noise
8.8,absolute basic decency
8.75,nonfixed patrol routes
8.75,minecraft p lmao
8.75,draw attention elsewhere
8.75,brightest bunch anyways
8.666666666666666,unnecessarily confusing despite
8.666666666666666,string bean head
8.666666666666666,loan refugee shoots
8.666666666666666,impossibly high tolerance
8.666666666666666,fond memories unfortunately
8.666666666666666,ashs head clean
8.636363636363637,poor design choice
8.636363636363637,frequent death combined
8.636363636363637,bypassed without cheating
8.625,single fatal flaw
8.625,frustratedly stopped crouched
8.625,frequently bs deaths
8.6,x electronic mcguffins
8.6,friend steve told
8.583333333333334,already obvioulsy passed
8.581196581196581,revolvers lying around
8.568181818181818,really enjoyed spy
8.53125,token oh spooky
8.525,asses aliens response
8.520833333333334,actionshooter style games
8.5,watch unskippable scenes
8.5,unnecessary animations rewiring
8.5,terrible bands tape
8.5,tax papers instead
8.5,successful mobile announcements
8.5,soooooo slowi gave
8.5,short overs yep
8.5,scripts dont allow
8.5,saving opportunities lead
8.5,savegame function requires
8.5,revolver point blank
8.5,retro boombox knock
8.5,patterns regular paths
8.5,move vacuum cleaners
8.5,mindnumbing segments involving
8.5,falls dreadfully short
8.5,error style search
8.5,creepy surrounding wondering
8.5,clueless moderator listed
8.5,chore jesus christ
8.5,additional bonus content
8.49,unmanageable blockages like
8.49,classics like pacman
8.49,backtrack like crazy
8.477777777777778,anotheri even changed
8.473684210526315,shallow half baked
8.466666666666667,slenderman best horrors
8.461538461538462,main characters endgame
8.461538461538462,main campaign skimmed
8.454545454545455,tedious videogame experiences
8.454545454545455,redundant always predictable
8.45,lacking substantive gameplay
8.446721311475411,namesake alien cyborgs
8.446721311475411,company itselfthe alien
8.446721311475411,awkward alien interactions
8.446721311475411,alien passes closer
8.444444444444445,spectacular job ridley
8.444444444444445,paid months ago
8.444444444444445,outstanding job ribley
8.442857142857143,motion tracker exists
8.433333333333334,walk substantial distances
8.433333333333334,endyou walk prepare
8.423076923076923,bad bland annoy
8.422222222222222,hide noisily drag
8.421052631578947,frequent random losses
8.416666666666666,paid attention whatsoever
8.416666666666666,carry air anyways
8.416382252559726,game swings widly
8.416382252559726,game leason learned
8.414634146341463,remove door jacks
8.414634146341463,maintenance door jacks
8.4,write character backstory
8.4,times excessively posturing
8.4,someone name taylor
8.4,play brutal doom
8.4,personal hateful location
8.397727272727273,theme reoccurring time
8.396825396825397,restart minutes earlier
8.391304347826086,heightened senses trying
8.38888888888889,abilities wont degenerate
8.387755102040817,characters seemed good
8.384615384615385,om noms leave
8.380281690140844,downloaded back onto
8.375,turn onoff breakers
8.375,creating artifical tension
8.375,againno funno chance
8.366666666666667,entertainment doubt ill
8.364864864864865,one final ingredient
8.363636363636363,soul crushing difficulty
8.352941176470589,different tram hubs
8.352941176470589,combine cheap enemies
8.35,try clock tower
8.342105263157894,first name basis
8.333333333333334,sooooooooo faaaar apart
8.333333333333334,residual orange light
8.333333333333334,prefer nonaction suspense
8.333333333333334,metal gear series
8.333333333333334,inevitably happen spoilertheres
8.333333333333334,haunting ground give
8.333333333333334,desks tables etc
8.333333333333334,broke taks updated
8.333333333333334,amazing secenary painting
8.333333333333332,showed ripleys face
8.333333333333332,mindless console masses
8.333333333333332,flare flare erupts
8.331196581196581,attention lingering around
8.323863636363637,every death sending
8.32183908045977,vicinity ive found
8.315126050420169,whether id recommend
8.30952380952381,motion detector pinging
8.303030303030303,mouth ugh without
8.303030303030303,htoo much stress
8.3,reply negatively towards
8.3,barely occupied spacecraft
8.28888888888889,locationhallway times within
8.2875,every x stepsminutes
8.272727272727273,exceptionally dangerous part
8.25287356321839,walking simulator tag
8.25,notice jagged edges
8.25,morleys key card
8.25,five unskippable logos
8.25,beat amnesia dd
8.247863247863247,metre orbit around
8.235294117647058,getting passed mission
8.234848484848484,really high hopes
8.23076923076923,infamous medical wing
8.225,totally changed maybe
8.214285714285715,occasional thing telling
8.213235294117647,multiple ennemies running
8.210727969348659,abrupt ive seen
8.2,screen turns white
8.2,rage quitting supposed
8.2,nonsense crappy gameplay
8.193333333333333,away potentially sometimes
8.193181818181818,really cheap deaths
8.191666666666666,hardcore aliens fan
8.19047619047619,punishing survival horror
8.19047619047619,incredibly dumblaggy use
8.1875,fricking mini games
8.181818181818182,ripleys daughters life
8.167403477748305,fed walking around
8.166666666666666,wouldve gone miles
8.166666666666666,unrelenting feature creature
8.166666666666666,ugly monotonous buiislt
8.166666666666666,starts stalking toward
8.166666666666666,shes ugly asf
8.166666666666666,resident evil remake
8.166666666666666,npc named samuel
8.166666666666666,neither helped eventually
8.166666666666666,moving cable car
8.166666666666666,gone incredibly disapointed
8.166666666666666,go away wheres
8.166666666666666,failed attempt ugh
8.166666666666666,effectively invite players
8.166666666666666,cryosleep decent crafting
8.166382252559726,game entirely based
8.164665523156089,scattered save points
8.164665523156089,infrequent save points
8.158333333333333,aliens away wished
8.156666666666666,like h max
8.155172413793103,revolver ammo ive
8.152625152625152,wandering around rubbing
8.15,feral space predator
8.14672131147541,spoilerthe alien supposed
8.145348837209301,imply youre alone
8.144444444444444,face even checked
8.142857142857142,hoarding weapons ammunition
8.140350877192983,entertainment today half
8.13888888888889,table within darkness
8.137058823529411,like getting fooled
8.136363636363637,shittiest map design
8.136363636363637,searched without finding
8.136363636363637,moment design suggestion
8.136363636363637,instant death scenes
8.136363636363637,improper death animations
8.133333333333333,require various tools
8.133333333333333,move away darting
8.133333333333333,gun wtf go
8.133333333333333,ft away teleport
8.133333333333333,astonishingly basic slog
8.121212121212121,preprogrammed orbit always
8.121212121212121,found myseld playing
8.119047619047619,bug id go
8.115384615384615,anything approaching engaging
8.113387978142077,latest alien lore
8.113387978142077,hallway alien pops
8.110016420361248,hour walking tour
8.105384615384615,surroundings look like
8.105006105006105,hour runnng around
8.104166666666666,script writers know
8.101196581196582,run around knowing
8.1,wasted potential imo
8.1,terrible gun fights
8.1,poorly pinpointed waypoint
8.1,focus crawl walk
8.1,drool immediately appeared
8.1,ceiling practically landing
8.093537414965986,would randomly dart
8.092261904761905,opening doors etc
8.09,space station lockeri
8.09,space station combined
8.09,infested space station
8.089285714285715,pure chance involved
8.088888888888889,go looking elsewhere
8.0875,slam locker doors
8.086206896551724,casually walking means
8.085714285714285,best horror experiences
8.083333333333334,poor amanda finds
8.083333333333334,npc casually sneak
8.08130081300813,door nope aparently
8.081196581196581,wonder around lost
8.081196581196581,quietly wonders around
8.081196581196581,hang around feet
8.079710144927535,juste get bored
8.079710144927535,get murdered simulator
8.079710144927535,get face camped
8.073333333333334,feel like uninstalling
