score,keyword
9.0,united states military
9.0,traversing ground paved
9.0,tiananmen square protests
9.0,tiananmen square massacre
9.0,sunlit construction yards
9.0,society blending tradition
9.0,riza hawkeye accompanied
9.0,remove purple francis
9.0,pulsepumping actionhorror movie
9.0,pice de rsistance
9.0,micro transactions brought
9.0,merek grimaldus fervor
9.0,masterpieceh bcommon infectedb
9.0,liar taiwan belongs
9.0,hijacking armored vehicles
9.0,hauntingly beautiful capturing
9.0,grizzled nam vet
9.0,gained widespread acclaim
9.0,flow completely absorbed
9.0,everwatchful entity orchestrating
9.0,enable situational awareness
9.0,emperor values truth
9.0,develop severe psychosis
9.0,daylight valves venture
9.0,cult li hongzhi
9.0,culinary maestro orchestrates
9.0,culinary delightall contribute
9.0,covered bclassic campaignsb
9.0,consumer culture headlined
9.0,competitiveness turning allies
9.0,cohesive unit strategizing
9.0,act extremely aggressive
8.91304347826087,oneman cheeseburger apocalypse
8.833333333333334,blissfully optimistic mechanic
8.8,utilizing environmental hazards
8.8,southern united states
8.8,southern charms grew
8.8,perfecting pancake flipping
8.763636363636364,gunshot zombie growl
8.763636363636364,committing zombie genocide
8.75,measured skill ceilings
8.75,local splitscreen option
8.75,charismatic suit man
8.743443839683325,summary left dead
8.743443839683325,strife left dead
8.743443839683325,simplicity left dead
8.743443839683325,qonqlusion left dead
8.743443839683325,personalization left dead
8.743443839683325,left dead standing
8.743443839683325,left dead series
8.743443839683325,left dead proved
8.743443839683325,left dead introducing
8.743443839683325,left dead evokes
8.743443839683325,ldautobhop left dead
8.743443839683325,hoverviewh left dead
8.743443839683325,hand left dead
8.743443839683325,flag left dead
8.743443839683325,charts left dead
8.743443839683325,bb left dead
8.743443839683325,awardwinning left dead
8.742857142857144,money bconsb versus
8.727272727272727,teamplay whether mowing
8.685714285714285,participate every member
8.685714285714285,gastronomy every meal
8.685714285714285,every shadow hides
8.679245283018869,older multiplayer catalog
8.676679841897233,zombie apocalypse trope
8.676679841897233,zombie apocalypse headon
