score,keyword
9.0,underdeveloped whoever coded
9.0,twitchhappy expert gamers
9.0,tldr true fans
9.0,terribly clumsy snap
9.0,support witch leads
9.0,snaake snaaaake snaaaaaake
9.0,redeeming qualities whatsoever
9.0,promotion cylcle continues
9.0,pet caragon disappears
9.0,passed beta stage
9.0,nominated awards watch
9.0,niche bonus objectives
9.0,masturbatory selfcongratulatory display
9.0,k ghz stock
9.0,horrendously poor balance
9.0,handle witch leads
9.0,graug happy ending
9.0,git gud threads
9.0,director ai logic
9.0,bound wraiths families
9.0,boosts yer speed
9.0,bona fide rampage
9.0,average charater development
8.8,vulnerability hes scared
8.75,lower ranking chief
8.72,went meters away
8.714285714285715,terrible theyll leap
8.666666666666668,yes assassins creed
8.666666666666668,assassins creed hasnt
8.666666666666666,wont register stuns
8.666666666666666,eyes incombat cutscenes
8.666666666666666,arbitrary rules forcing
8.615384615384615,intro interrupts everything
8.6,radiant quests masquerading
8.6,lower ranking chiefs
8.6,larger groups plus
8.6,ghost arow mode
8.6,depended upon yet
8.6,countryside slaying groups
8.6,biggest disappointments waits
8.583333333333334,nowin scenarios people
8.571428571428571,mordor terror hound
8.5625,became insanely impossible
8.551020408163264,even bigger doggies
8.551020408163264,doom bullshitery even
8.545454545454545,small gaming content
8.545454545454545,small arenalike maps
8.538461538461538,timely hints sometimes
8.538461538461538,never ending stream
8.538461538461538,never ending splew
8.53125,monologue youre reset
8.529411764705882,really enjoyable aside
8.529411764705882,arnt really qte
8.5,tame beasts midbattle
8.5,speed boost murder
8.5,spans anew wasting
8.5,screaming enjoyable experience
8.5,point merely reaching
8.5,pity theyve ruined
8.5,performing onscreen degenerating
8.5,movement unpolished climbing
8.5,intuitive control schemes
8.5,individual short ribs
8.5,future jibbah forced
8.5,friend whose eyes
8.5,forced auto aiming
8.5,enemys thus comincing
8.5,dragons dogma combined
8.5,actively control units
8.48913043478261,run slightly faster
8.47,dozen feet away
8.461538461538462,unknown captains archery
8.461538461538462,lower leveled captains
8.461538461538462,constantly sends enforcement
8.461538461538462,constantly send swarms
8.459130434782608,run away repeatedly
8.459130434782608,run away chase
