score,keyword
9.0,wraithworld signs ithildin
9.0,tomb raider reboot
9.0,star wars novels
9.0,sowing deceit among
9.0,servers inevitably shut
9.0,nomination topics indescribable
9.0,microtransaction littered dumbsterfire
9.0,mesa drivers radeonsi
9.0,logitech g lightspeed
9.0,iritating enemyes respanw
9.0,ign metacritic gamespot
9.0,httpsteamcommunitycomsharedfilesfiledetailsid httpsteamcommunitycomsharedfilesfiledetailsid httpsteamcommunitycomsharedfilesfiledetailsid
9.0,hpdamage aifighting behaviour
9.0,hbhonest reviewhb itldri
9.0,favoured frontal assault
9.0,f wireless gamepad
9.0,creating rifts among
9.0,conveniently placed wherever
8.849152542372881,wannabe assassins creed
8.849152542372881,creeds assassins creed
8.849152542372881,assassins creed odyssey
8.849152542372881,assassins creed cared
8.849152542372881,assassins creed allthough
8.8,underage doppelgangers four
8.8,aciv black flag
8.758064516129032,nemesis mobs pop
8.75,proper dental hygene
8.75,apparently disables popups
8.727272727272727,side missionscollection relics
8.725490196078432,arkham shoe horns
8.714285714285715,sight seeingfree roaming
8.714285714285715,assassin creeds freeclimbing
8.702127659574469,elven glyph quests
8.696969696969697,every penny ladies
8.68888888888889,gets unfolded slowely
8.666666666666668,brings middle earth
8.666666666666666,star trek fans
8.666666666666666,hourslong orckilling rampage
8.666666666666666,creating rivalries etc
8.666666666666666,barebones glitchesbugs bb
8.666666666666666,armadillo king logging
8.64,high ambien occulsion
8.630952380952381,horrible final bossspoiler
8.625,sneakingasssainatinghawks eye view
8.613636363636363,arehorrible uninspired repetitive
8.602020202020203,storyit really builds
8.601078167115903,tastes like treacle
8.601078167115903,exceptions like stealthing
8.6,tomb raider mixed
8.6,steel maze filled
8.6,severed limbs jump
8.6,john wick mixed
8.6,create franchisesbut please
8.599152542372881,assassins creed formula
8.58695652173913,toooo looong played
8.583333333333334,hardcore gamer causal
8.582278481012658,fights anticlimatctic battlewise
8.581818181818182,fillet mignon havent
8.578048780487805,modelings good musics
8.571547420965057,orcsthis game solves
8.571547420965057,game soft locked
8.571547420965057,elder scrolls game
8.566666666666666,lotrassassins creed clone
8.565217391304348,prettier allegedly weapon
8.56,cheese stealth takedowns
8.559411500449237,like lotrmiddle earth
8.55,locked behind paywalls
8.547169811320755,scratch soonish though
8.54245283018868,lego games placed
8.541666666666668,middle earth universe
8.538461538461538,plays ie switching
8.535,autofail stleath missions
8.533333333333333,slapping new coats
8.533333333333333,new patchedup wound
8.533333333333333,horrible mouse acceleration
8.533333333333333,avid lotr lover
8.533333333333333,add additonal characterssidestories
8.529880754298393,lotrmiddle earth game
