document_no,dominant_topic,topic_perc_contrib,keywords,text
0,2,0.4008,"enemy, make, gun, player, system, human, save, kill, weapon, level","Well I love survival horror and I LOVE Alien franchise ESPECIALLY first film so I so wanted to love this. But this game has no rhyme or reason. Missions are completely murky and not explained. The map is HORRIFIC and gives you no idea where you are going or why.
Items are so sporadic and then they make it next to impossible to craft something.
Robots can kill you with three grabs and it takes 18 melees to take them down. Wopeee this is so much fun.
Also, love the idea of 80s look, but it is wasted here . There are endless corridors that go nowhere and have nothing. There is almost never a reward for going off track, and the game does a terrible job telling you what track you should be on.
Story is really lame. You are on a ship with angry humans and an alien but no explanation is given for who these people are or how the alien got there.
Really poor poor   story telling.
The characters have zero color or personality.
The game can kill you whenever it wants with no logic.
I don’t understand positive reviews on this one . It’s like banging your head against the wall over and over.
Hard pass."
1,1,0.5872,"alien, time, go, hide, see, run, walk, first, save, back",[SPOILER ALERT: This review contains spoilers.]
2,3,0.3342,"really, feel, make, well, much, gameplay, great, alien, story, thing","This is a bad game, the alien is copying Conker's Bad Fur Day, except it's boring"
3,3,0.4719,"really, feel, make, well, much, gameplay, great, alien, story, thing",Decent atmosphere and good graphics for its day. But over-rated imo. The **** enemies just kill you in one second and I would have preferred more combat and not just stealth all the time. Repetitive structure. Good for a few hours but frustrating after that.
4,3,0.5496,"really, feel, make, well, much, gameplay, great, alien, story, thing","Played it in 2023, graphics keep up with dignity and the atmosphere is quite cool. Mayor issues with the gameplay, though. The worst I've played this year to be honest. The game mechanics are completely broken. You see the alien through a window 20 meters away, turn around and in one second you have it at your back. Sometimes enemies see you 100 meters away, sometimes don't notice you 2 meters away. You have a gun but can't kill with it even an android. So what's the point of it all? Playing it becomes really tedious. Making a difficult game is not about making it random, nor unfair. I deeply regret having bought it."
5,3,0.3697,"really, feel, make, well, much, gameplay, great, alien, story, thing","A very contrived game that is kind of immersion breaking due to the Alien parts. The Alien doesn’t work in an Alien game. It moves all wrong on hind legs like a Tank and no wall crawling. It’s a one hit kill monster with god mode infinite health that cheat teleports all over the massive space station. When ever the Alien(s) appears it’s very contrived and immersion breaking.

Don't get me wrong it is cool to see all the Alien the movie style of analogue tech in a computer game. The game is is ok when facing off against humans and kind of fun when facing off against androids. At least the player has a fighting chance against those foes they can be killed/destroyed.

The clunky UI makes the player move like a geriatric. Yeah I get the limited save options at certain points was to create a certain amount of extra tension. As opposed to save anywhere at any time, but I found it just time wasting annoying and cheap when dying to the instant kill, god mode, cheat teleporting Alien.

Every games seems to need the obligatory crafting element these days, but it makes sense in a survival game using makeshift gear. Just throwing the very limited survival resources at the invulnerable Alien in god mode was a pointless drain. I only found the flametrhower the best quick fix to shoo the gawd damn thing(s) away anyway.

A missed opportunity for a really great game let down by really bad and cheap Alien game design."
6,3,0.854,"really, feel, make, well, much, gameplay, great, alien, story, thing","The fact that the alien is there for 10 hours chasing you makes me think that this game is a bit repetitive. But for the rest, graphically it has aged very well since 2014. And the sound is incredibly good, as well as the setting that makes you feel horrified during the 15 hours of gameplay"
7,3,0.6669,"really, feel, make, well, much, gameplay, great, alien, story, thing","This may seem harsh, but when the weakest part of an Alien game is the Alien, that is inexcusable.  Seriously, you could remove the Alien from this game and it would be better.  There is nothing random about the Alien.  He is going to be close to you no matter what, the Alien doesn't obey the rules of the ship.  He gets to move in vents that you can't access.  It's really dumb.  Even when you know the scripted moment they put you in a dead end so you have no choice but to set off the scripted event.  Killed the immersion factor.  It's a linear game trying really really hard to make the Alien seem life like but it's just a SOLID FAILURE.  This game is still playable, just don't expect much from the Alien.  This game should should be called Isolation: ignore the Alien.  I was terrified when the Alien showed up, but not for long.  Sorry, I can't get over the terrible AI."
8,2,0.4015,"enemy, make, gun, player, system, human, save, kill, weapon, level","Ghost game its so annoing. save system destroy that's game. Od you wants się same.

if you want to do the same over and over again, this is the game for you"
9,1,0.5233,"alien, time, go, hide, see, run, walk, first, save, back",Awful non of the slealth works even when crouching non of the hiding places like lockers work the enemies always know your there even when your prompted to hold your breath and the amount of times an alien has chased me even though im stood there making no noise and im 2 rooms away.
10,3,0.6274,"really, feel, make, well, much, gameplay, great, alien, story, thing","It's hard to say much negative about this game. Having to construct supplies took getting used to, but it's a very creative and cool choice. The story was great, the cut scenes being better than some of the actual ALIEN films. ISOLATION isn't perfect, but if I've ever played a perfect game, the amount is less than 5, so that's not really a slam. The ending is shocking and impactful and awesome. The graphics are questionable at times, even in the remaster, but those are mostly great, too. Sometimes, the Alien is so difficult that it gets frustrating, but for the most part it's fine. The facehuggers are scarier than the Alien. They're frickin terrifying. ISOLATION definitely brings the horror, though, with one of the most all-around well-made games in existence. Screw the reviews, just hop in and pee your pants."
11,2,0.7151,"enemy, make, gun, player, system, human, save, kill, weapon, level","This type of game only works if there is a rhyme, reason, and logic for how the player survives or is killed. If those mechanics are in place, then ""survival"" is based on your learning -- patterns, stealth, strategies, resources, etc. In Alien Isolation, you just die. You don't know why you died, or how to avoid dying the next time. You just die. Over and over again. If you survive, that survival is more likely a result of luck, not skill, not reason, not logic."
12,2,0.3785,"enemy, make, gun, player, system, human, save, kill, weapon, level",Glitches make this the most frustrating game I've ever played. Cutscenes will not load and you are forced to go back an hour due to limited saving. While in stealth you will simply stand or walk through a solid object and are again forced to start over. Disgusting.
13,3,0.517,"really, feel, make, well, much, gameplay, great, alien, story, thing","One of the most annoying games I've ever played. The Alien is like a **** heat seeking missile in end game.
I thought about deleting the game from the hard drive many times before finishing it.
Could be that I played it on hard, whatever."
14,3,0.3799,"really, feel, make, well, much, gameplay, great, alien, story, thing","Last levels is a ****
Sound design is a ****
Animations is a ****
Textures is a **** **** ****
Well, I don't know why so high scores for this game, but I think this game like a Polish shooters mid-2000s.
Level designer found a job after such a disgusting work?"
15,1,0.5122,"alien, time, go, hide, see, run, walk, first, save, back","Mediocre game - Sneaking, crouching, find that, bring that there - story is like "" I don't care"" AI of Alien is cheat, it always follows you whenever you go. Initially game is scary however at some point it become boring. crouching, move, turn off/on power.... I am glad that I bought it on promotion for about 12 euro...  Save your money, don't buy it."
16,1,0.5235,"alien, time, go, hide, see, run, walk, first, save, back","Before you decide to waste a weekend on this you must and I do not think that it is a spoler but will rather save you some time, you must know one thing and ONE THING ONLY:

The ending...what a joke. Not even an attempt.

Really after going through so much with your character and the game forcing you to sneak SOOOOOOOOO much...
you get what is over in 2 seconds and while the credits role it leaves you with your mouth open thinking ""dont those guys just **** on me?""

If you are like me and are looking for a complete package, story wise and just demand a LITTLE closure(funny as it is one of the themes of the **** game),

SKIP THIS GAME! It is not worth it. Trust me.

All the best."
17,4,0.3958,"pc, hide_seek, scene, list, none, guy, friend, switch, trigger, lack","for me i just found it to a very slow paced and ultra boring farce ****, shameful attempt at what could have been **** it right guys."
18,4,0.5564,"pc, hide_seek, scene, list, none, guy, friend, switch, trigger, lack","Boring and formulaic. If you aren't unnerved or freaked out by being suspenseful music and a BOO! mechanic you can skip this game. It's like being a **** guy in Texas, you're just in and out of closets till you can get the hell off that station.  For me this isn't survival horror, it's hide and seek."
19,1,0.5872,"alien, time, go, hide, see, run, walk, first, save, back",[SPOILER ALERT: This review contains spoilers.]
20,3,0.3556,"really, feel, make, well, much, gameplay, great, alien, story, thing","A new stealth game...! This time part of the Alien franchise. I could not wait to play :) The beginning was great - no ammo, I need to build everything, scattered and scarce resources - perfect! Then I saw the BAD ""guy"" - awesome. My hands were sweaty! So everything good up until this moment. Then I played at least 5 hours straights, and I died so many times and couldn't squat about it. This actually destroyed the gaming experience completely! Bottom line - Alien Isolation is a poor implementation **** concept!"
21,1,0.5871,"alien, time, go, hide, see, run, walk, first, save, back",[SPOILER ALERT: This review contains spoilers.]
22,3,0.6587,"really, feel, make, well, much, gameplay, great, alien, story, thing","Its not awful but it certainly isn't good. The atmosphere started out as very scary and i was anxious and excited to meet the alien. The graphics are ok, not as good as some next gen but better than ps3. But then i had to use stealth. I like stealth games. But when enemies start to see you and say you make a noise when you were well hidden and standing still is really frustrating. I appreciate the fact that your human ingame and not invincible but you die way too easily. The fact you have to load a past save and cant save anymore is so frustratingly dated that its a wonder it was even used. The game is too unforgiving for little mistakes you make (and dont make) that doing things that took yoh a long time over and over when you get caught by the Alien makes it not very fun at all. I do not reccommend this game."
23,1,0.3677,"alien, time, go, hide, see, run, walk, first, save, back","You fight working Joes, that's most of the game. On the odd occasion the Alien is in the game a quick blast from the flamethrower sends it running once you receive several missions in. Im a huge fan of the Alien franchise and this left a bitter taste in my mouth. Since when did the Alien ever walk around hallways randomly on its hind legs? Since when were working Joes the main enemy you fight? The controls are awkward too, having to hold multiple buttons at a time to do even the most basic commands"
24,3,0.5673,"really, feel, make, well, much, gameplay, great, alien, story, thing","Are these other reviews jokes or getting paid? This game is a boring, walking around pushing buttons and turning levers then occasionally encountering a poorly rendered Alien that has severely impaired vision. Strip away the pretty graphics and this game is just pushing a series of buttons to outfox laughably bad AI. The alien isn't scary or immersive or anything good."
25,3,0.5058,"really, feel, make, well, much, gameplay, great, alien, story, thing","None of the mystery or compelling characters that makes the Alien franchise decent is present. Frustrating and dull. Very dissapointed. The entire game is based around the last 40mins of the 1st film, which is the most boring imo. Where is the plot? The mystery and exploration of a new and dangerous situation is what makes Alien for me. Not just hiding from an alien and androids, I want to see space jockeys and C ships. Just meh."
26,3,0.7604,"really, feel, make, well, much, gameplay, great, alien, story, thing","This game is amazing and terrifying. This game can get too difficult at times, but its usually under control. This game is great for people who want a great lasting horror game with unscripted A.I. and force you to keep on your toe"
27,3,0.468,"really, feel, make, well, much, gameplay, great, alien, story, thing","Run,Hide,Run,Get killed and do it all again.

Alien Isolation is not what you are expecting it to be,The gameplay is stressful and unstable with a mix of repetitivity,The AI is
unpredictable which may cause some problems during gameplay,Save points are very poor systemized when you need to travel from point A to Point
B just to save!they should've added checkpoint autosaves.

The single player campaign is good lengthed but it's poorly told with no excitment at all it's really slow you'll get bored of it after an hour or two and you'll be wanting just to leave the game
ASAP.

The envoirment here is running on closed space ship and there's not too much left for the player except for those closed places in that ship IT'S REALLY
BORING ATOMSPEHERE.

Final Verdict:
It's another hyped game like Destiny,it may be slightly better than Colienil Marines and it's def. not worth your money and time,it could've been better but unfortuntely it's medicore
soundtrack and graphics may help to rise the rating up a bit but still it's not worth wasting your time."
28,3,0.5393,"really, feel, make, well, much, gameplay, great, alien, story, thing","From my playthrough, the game was quickly showing it's hand as trial and error stealth. The atomsphere and attention to details from the movie is a nice treat but doesn't carry this game on it's own. The alien is also a nice thing to observe but it gets really boring hiding from the threats for the millionth time.

I've played many stealth and horror games and so far this game is all just set dressing and not much substance underneath all that neat art direction.

Then after watching some playthroughs I think I made the right choice ending my playthrough when I did, I'm definitely am going to get sick of this game only a few hours in. I do not understand the glowing praise around the game even having seen Alien movies myself."
29,3,0.4962,"really, feel, make, well, much, gameplay, great, alien, story, thing","I really, REALLY wanted to like this game but after dying to the Alien 20 times on one level all immersion and scariness dissipates and you're left with nothing but annoyance and frustration. I hate nothing in a game more than having to re-do progress, and that is one of this game's core mechanics. On top of that this game is twice as long as it should be. But the set designs are pretty cool and the art is fantastic!"
