document_no,dominant_topic,topic_perc_contrib,keywords,text
0,3,0.7801,"horror, time, enemy, feel, level, look, go, make, shoot, really","First some good things, really good Ai even for today. The Graphics are also good for 2005 and the controls aren't bad, nothing special. I really don't know what is happening in the story, you follow one guy and more I don't know. The game feels like a mix between Doom 3, a new guy have to fight against some randomn enemys on his own. The other part of the mix is a generic shooter. This game is nothing special,if I have to discribe it in on sentence I would say: It is like Doom 3, but Enemys have guns and they are smarter."
1,1,0.4314,"run, work, fix, even, issue, try, make, problem, new, fps",[SPOILER ALERT: This review contains spoilers.]
2,1,0.5455,"run, work, fix, even, issue, try, make, problem, new, fps","This game is frequently hailed as one of the only truly scary FPS games made. A game rich in atmosphere, and setting, that drives you to keep playing it.

I just don't see it. I have tried to get into this game. I want to like it. But I just can't. I can't now, and I couldn't ten years ago when it first came out, the first time I tried to play it. Nothing in the game, nothing in the story, makes me want to keep playing.

That is not to say the game doesn't have its strong points. The AI in this game is top notch, and holds up well even today. The enemies will try to flank you, surround you, they react to being seen, being shot at. They'll throw grenades, they'll fire from cover. They really are some of the best AI I have ever seen. And the game should be played if just for this alone. (Edit: This only applies to the first enemy type you see, the soldiers. When you start getting to the invisible robot ninjas (I am not kidding), the good AI goes right out the window. I witnessed two of them performing a Scooby-Doo routine of running back and forth randomly between the rooms in a hallway, simply because I had my gun pointing down the hallway so they wouldn't come at me. It was hilariously pathetic.)

But there are also problems. There's no on-screen indication when you take a hit. Your life goes down, and that's it. So you could be in a fire fight, shooting from cover, and thinking you're doing well, only to find yourself on the edge of death. Because you didn't know that the enemy was hitting more shots than not. Or didn't realize that someone had gotten to your side, and was free to open up on you. That severely hurts this game. (Edit: There actually IS a visual indicator. But it is on the very edge of the screen, and flashes by so quickly that I literally did not notice it for more than three hours of gameplay.)

They also made a bizarre choice with the weapon and ammo mechanic. In an effort to make you switch weapons often (you can only carry three at a time), when picking up a new weapon it comes with a full magazine loaded, and enough ammo for a second. However, if you already have a weapon of that type, when you pick the new one up for more ammo, you get roughly a third of a magazine. Of course, you can game this system by first tossing your weapon on the ground, picking up the new one (which is now reloaded for you), and then picking up your old one with all the ammo you had before. You'll start to do this very rapidly once you find a weapon you like.

Also, despite being only ten years old, the game does not run well on modern systems. Disabling ""HID-Compliant Device"", and in my case ""HID-Compliant Vendor-Defined Device"" is required to make the game run at anything higher than 6-7 FPS. So don't expect your gaming keyboards and mouse to function when you play this game, and be prepared to reenable those when you have finished.

There are other problems. The game forces ""Letterboxing"" when it does cinematics. Even if you're using a wide-screen monitor and resolution. So expect to see black bars and the top and bottom of an already wide-screen image. And the FMV cut-scenes are letterboxes as well, but set in 4:3 ratio, so they'll be displayed with a box with black bars on all sides.

So what about the story? Well, this was before the ""scary little girl"" trope was completely overplayed. But even so, nothing in this seems to work. There's a few pseudo jump-scares, and some places where the graphics will change on you into another, ""spooky"" scene. But both Max Payne and even Postal 2 of all things had done this years before. (Quick edit: The Postal 2 expansion that featured this was released the same year as F.E.A.R., but five months before.) And to a better effect. In fact, that might be one of the problems I had with this game ten years ago. It so desperately wants to play like Max Payne, but with a horror twist (""Bullet Time"" - the slow motion effect - was featured in Max Payne as well). But this game just didn't seem to push hard enough.

There's a level of interactivity... but it's so painfully limited that you notice more when you CAN'T do something than when you can. You can only do anything with phones if they're already flashing with a voice mail message. You walk by a radio and can't turn it on yourself, but some will spout something directly from the Exposition News Network, letting you know a plot update... and then promptly fall silent again. There are blocked doors, sometimes you can figure out a way to open them, but frequently they can't be. And, again, to put in perspective as to the environment when this game came out, System Shock 2 and Deus Ex had both been out for half a decade before this game was released.

The game shows its age now. But it wasn't fresh and exciting when it came out. F.E.A.R. - First Encounter Assault Recon (which, BTW, Assault and Recon are kinda mutually exclusive, but they had to fit that name in somehow) was a game that was trying to just exist."
3,2,0.5362,"story, scary, buy, way, series, boring, repetitive, whole, make, first","I think this is the most boring and repetitive game I have ever played! The whole game is just walking around in buildings and shooting people, that's all you will be doing for the entire duration of the game! And the story is completely pathetic and irrelevant.
Don't be fooled by its good rating, this game is a total waste of time, avoid it all cost!"
4,2,0.8648,"story, scary, buy, way, series, boring, repetitive, whole, make, first","So this game attempts to copy games like Doom 3 and call of duty which both have gripping campaigns and can both be replayed 10000s of times. This game makes me want to cry because its so bad.
Btw whoever made this game is a ****"
5,2,0.5761,"story, scary, buy, way, series, boring, repetitive, whole, make, first","The story line nearly doesn't exist- it isn't told in any kind of logical fashion, and it makes no sense. The graphics are great, and the ability to slow time is useful at first, but eventually you develop a dependence upon it that becomes a crutch. Enemies do so much damage that you can't risk going into battle without it, but then it makes the game too easy. The weapons are very limited- you either have a machine gun, a rifle, or dual pistols. There are no other legitimate options. The game is scary at first, but after about the third level, the whole shock factor is depleted. I would not recommend this game to anyone- even if you can buy it cheap, you're better off re-playing any of the other FPS's you have in your library. Play ANY one of them."
6,3,0.985,"horror, time, enemy, feel, level, look, go, make, shoot, really","To be very honest, I was quite disappointed. I was actually really hoping to like this game, and I did enjoy it a lot in the first couple of hours or so. But after that I realised that there was nothing more to this game but mindless repetitive shooting. Let me explain. First the good bits. F.E.A.R. has some distinct strength, no doubt. It has very nice and realistic use of lighting and shadows, and also a very clever enemy AI, so enemies actually use teamwork and take cover instead of just running at you. The ability to go into bullet time (slow motion) is also very nice, but that ability is pretty much the leverage point of the entire game. You aren't encouraged to use it, you are forced to use it. If you don't, you die too easily. This makes every single gunfight a mindlessly slow drudgery. You are also given cool melee attacks, but you can be sure you won't use them past the first level, because you almost never get a chance to get that close to the enemy. Action in general - as I said, it's fun for the first couple of hours, but then you realise that every single gunfight is virtually the same as the hundred you've had before. The same types of enemies, the same types of arenas, the same types of guns. Nothing changes! This is boring! And speaking of boring... the levels. I have played more than half of the game, which is quite a number of hours, and I've only encountered 3 types of areas  throughout - sewers, warehouses and offices. That's it. It's the same kind of areas repeating themselves all the time. And there are even several parts of the game where you walk corridor after corridor with nothing happening whatsoever. No enemies and no suspense, just corridors. That heavily detracts from the pace of the game. As for the horror element. Well, it sort of works at first, but after first few levels you realise that none of those ""scares"" actually have any effect on you. They are just images. In games like Doom 3 for example, things that jump at you out of nowhere are actual monsters that can KILL you. In F.E.A.R. nothing that jumps at you can affect you in any bad way. It's totally harmless, so why get scared about it? By all means, F.E.A.R. is a well-made game, I have not encountered any bugs and such, but it's not entertaining at all. It doesn't have interesting puzzles, no story to encourage you to play on. It's just a repetitive shoot em up."
7,3,0.7946,"horror, time, enemy, feel, level, look, go, make, shoot, really","I picked up F.E.A.R cheap on Steam, as you do, expecting an engaging and enjoyable horror shooter. What I got was something different entirely. After the second level it becomes a drag of just more of the same. Bland, grey rooms, leading into bland, grey rooms. Hey, if you were lucky you might get one with a blood splatter in it, but that was the extent of it. The graphics were nothing special, even running on the highest setting and the gameplay just awful. It eventually became and endless cycle of 'slow-mo on - shoot the crap out of everything - slow-mo off.' Rinse and repeat. A horror experience absent of horror or atmosphere, and this is coming from someone who can barely sit through a horror flick. A thoughtless ending was the climax of a story desperately crying out for some more detail and attention. Save your money, seriously."
8,3,0.8393,"horror, time, enemy, feel, level, look, go, make, shoot, really","I was shown fast-paced close-quarters combat, I got 5-round burst guns and open areas with little cover."
9,1,0.572,"run, work, fix, even, issue, try, make, problem, new, fps","Terrible framerate on a 4070 for some reason.  If you have newer hardware, beware."
