document_no,dominant_topic,topic_perc_contrib,keywords,text
0,4,0.5683,"release, mission, buy, full, wait, content, episode, pay, money, go",February 2024 and Hitman Freelancer doesn't save customisation in Hitmansion if you quit the game unless you launch a mission and finish it or ALT-F4 to desktop. Shame.
1,0,0.4102,"level, way, feel, mission, map, time, make, kill, blood, target","the game is pretty boring ,you can not stealth kill your enemy without your gun , and one of the dumbest things about this game is that when enemies came near you , you can not draw your gun and shoot them , you have to fight with them by dealing with A , D buttons to knock them out , agent 47 walking animation is really bad , he walks like a robot , game has serious sync issue , when you turn on the V-sync due to lack of triple buffering  game stutters and fps drops below 60 and when you use fast V-sync you will experience screen tearing , tearing issue persist even if use g-sync on your g-sync supporting monitor ,TAA does not implemented very well in this game and you still have aliased edges and to reduce aliasing you have to use one of the SSAA methods"
2,0,0.6146,"level, way, feel, mission, map, time, make, kill, blood, target","What could be a great game ruined by ridiculous quirks that should be long gone by now.

Very much a long time fan, a beautiful game, but, for the love of god there are some things that are so unforgiveable.

The settings are amazing, so much detail, hidden little pieces all over the place.

The story is brilliant, played out over 1, 2 and now 3 explaining, who 47 is, brilliant and I never saw some of it coming.

The characters are fully fleshed out and the hits, brilliantly executed, BUT.....

The AI, ye gods, when will IOI listen to what the players have been saying?, it's just so shonky, it's not funny. NPC's that see you through the tiniest of cracks, through solid walls, hear ""silent"" take downs and investigate simply ""because"", or spot you with no reflective surfaces while with their backs to you. This isn't as if this is something new either, players have been reporting for YEARS how bad the AI is on the NPC's and IOI have done exactly nothing.

And now we have Freelancer mode. WTAF!!!

Put all those bugs into an unforgiving layout, then jack the bugs up to 11. It's not even funny. You get halfway or three quarters of the way through a syndicate campaign, kill the target, and because there are decoys, they take the decoys to an exit, there is NO indication they are a threat to you, you try to exit, and they kill you, no warning, just dead and that's hours of work ruined because, if you die the campaign is reset and IOI are too lazy or too stupid, take your pick, to do their job properly.

A great game ruined by slap dash programming.

I had given a rating of 5, now dropped to 3. On Freelancer mode, if you die in normal mission you lose that map, take a hit on your money and lose your tools and weapons you took with you but not those you had at the safe house.

If you get killed on a ""Leader"" mission you loose ALL tools even at the safe house, financial hit, keep the weapons at the safe house, and the campaign is reset to the start.

Just killed on a regular mission, yet due to IOI's slap dash rush to use Freelancer mode to get more money, and releasing the update before it was ready, I got killed on a regular mission on the final level but got reset as if it were a Leader mission.

I'd call IOI incompetent, but they don't even rate that well. They've become another Dev more interested in milking their game for every last penny they can out of their customers, then getting the game right.

Just another bunch of morally bankrupt, self serving grifters.

You want to earn some points back IOI, let us turn off the voice of that sanctimonious, arrogant patronising Diana, the last thing I need to hear after your shonky piece of software has just screwed me over for the umpteenth time is her voice prattling on."
3,0,0.6721,"level, way, feel, mission, map, time, make, kill, blood, target","Why I hate the video game Hitman 3. by tinyedge at work Oct 30, 2012 Tony didn't say ""it's the front of the car"". by tinyedge on Sep 19, 2012

For 3 years, Hitman has been in limbo for any updates. Some of them are just great tweaks to the visual design, while others are great additions to the game. This includes: weapons. Get Jackson out of your defenders. Fight as you know how.

I've been playing for months, and today I'm finally a month away from the new game. Of course, there are new weapons and perks. But I have a lot of time to be free and have fun. Here are 5 things I could have done better. They are listed in no particular order, they are all good and can be found in the following order:

* Weapons for all characters, even low level

* Choose the light's color scheme and visual cues (you know, tell me if this particular blue smoke light is in a white van, etc.).

* New theme song, good credits

* More weapons per character with attachments to the weapons used

* Weapon decay system (after losing all weapons"
4,0,0.6867,"level, way, feel, mission, map, time, make, kill, blood, target",Boring game of open stages and confusing a fool who wants to deceive a hundred people without sound and all his donkeys have only a good amount of graphics. Porsches that are all shapes from 1900 until now
5,4,0.6931,"release, mission, buy, full, wait, content, episode, pay, money, go","Furious! last level of Hitman 3 is the absolute worst ending to any hitman so far and most games in general. unbelievably bad. there is 5 actual missions. that's $12 a level. absolutely not worth 60 dollars. this should have been a 3-5 level DLC. I wouldn't even pay $30 for it if I had a choice, just torrent it."
6,2,0.3898,"online, server, always, save, connection, offline, mode, lose, connect, need",Controls are crap and the main menu too. I can't even find my save file. 3/10
7,0,0.8405,"level, way, feel, mission, map, time, make, kill, blood, target",Checked it after a year because it got to game pass. Gotta say I don't know what happened to peoples expectations. This game is completely beyond any. Poor old graphic models ( cool lightning is not going to help here) and also same thing as hitman 1 and 2.
8,2,0.641,"online, server, always, save, connection, offline, mode, lose, connect, need","The VR integration doesn't work with my HTC Vive Cosmo Elite headset despite it supposedly being a supported headset. The game renders on my television but on the headset it just renders a 'Waiting' message. Very disappointing, particularly at the price point it's being sold at."
9,2,0.4392,"online, server, always, save, connection, offline, mode, lose, connect, need","Stupid offcentered camera postion ruins this game. The character should be in the center, ffs."
