,topic_num,topic_perc_contrib,keywords,text
0,0,0.8987,"bug, work, crash, fix, review, buy, issue, break, try, problem","Just dowloaded this game recently so i cant say anything for certain about this game but conratulate the devolopers for ruing my gaming mood on this game, fucking bugs in the begining of this game made me couldnt talk to taylor after talked to samuel and i had to restart my save game. its been 6 years now and you havent released the patch to fix this bug ?"
1,0,0.8844,"bug, work, crash, fix, review, buy, issue, break, try, problem","[h1] Header text	[/h1]
Header text
[b] Bold text	[/b] Bold text
[u] Underlined text	[/u] Underlined text
[i] Italic text	[/i] Italic text
[strike] Strikethrough text	[/strike] Strikethrough text
[spoiler] Spoiler text	[/spoiler]
[noparse] Doesn't parse [b]tags[/b] [/noparse] Doesn't parse [b]tags[/b]
[url=store.steampowered.com] Website link	[/url] Website link
[list]
    [*]Bulleted list
    [*]Bulleted list
    [*]Bulleted list
[/list]
Bulleted list
Bulleted list
Bulleted list


[olist]
    [*]Ordered list
    [*]Ordered list
    [*]Ordered list
[/olist]
Ordered list
Ordered list
Ordered list


[quote=author] Quoted text	[/quote]
Originally posted by author:
Quoted text
[code] Fixed-width font, preserves spaces	[/code]
Fixed-width font,
preserves    spaces
[table]
    [tr]
        [th]Name[/th]
        [th]Age[/th]
    [/tr]
    [tr]
        [td]John[/td]
        [td]65[/td]
    [/tr]
    [tr]
        [td]Gitte[/td]
        [td]40[/td]
    [/tr]
    [tr]
        [td]Sussie[/td]
        [td]19[/td]
    [/tr]
[/table]"
2,0,0.8371,"bug, work, crash, fix, review, buy, issue, break, try, problem","Game-breaking crashes with no fixes, and the only tech support forum mod has not logged in since december 2014. Like flushing money down the toilet."
3,0,0.7842,"bug, work, crash, fix, review, buy, issue, break, try, problem",doesnt even work.. black screen when trying to start game.. wheres the refund option?
4,0,0.7788,"bug, work, crash, fix, review, buy, issue, break, try, problem",pATCH THAT frickin Alien OUT!! HE'S RUINING MY GAMING EXPERIENCE!   i wanted peace but got poop in my diaper instead.
5,0,0.7726,"bug, work, crash, fix, review, buy, issue, break, try, problem",game plays at ultra settings just fine at 60fps but when i enter a cutscene it just drops to single digit fps... and i found out after some research that this cutscene problem is very common. refunding this game until its fixed.
6,0,0.7624,"bug, work, crash, fix, review, buy, issue, break, try, problem","Native Linux version does not work as reported in proton.db. 
Using Proton on the Windows version works."
7,0,0.7545,"bug, work, crash, fix, review, buy, issue, break, try, problem",This Game can't run anything of low potato pc I mean you look at minimum requirements and think you can run your pc but no is frozes and crash your game. Image to Mac or Linux those laptops can exploded
8,0,0.7512,"bug, work, crash, fix, review, buy, issue, break, try, problem","BET error ruined it for me,  wasn't my computer downloaded the game on a different store and worked perfectly, fix this steam."
9,0,0.7398,"bug, work, crash, fix, review, buy, issue, break, try, problem",The game will not run. It plays the introductory video and then crashes to desktop. I've tried every forum I could find related to this problem and none have worked. I submitted two tickets to Sega for this issue and unfortunately they were not able to help. At this point I cannot recommend the game due to this technical issue.
10,1,0.9433,"alien, time, go, hide, see, run, walk, first, save, back","A well-crafted masterpiece... that shits the bed right at the end and then gleefully rubs your face in it. Takes pure luck to not get randomly ambushed by a Xenomorph when walking down a narrow corridor to the objective. Alien randomly drops in on you, pops up on the motion sensor with no warning and rips your face off. If you hide for too long the game will decide to kill you while it camps the objective. If it isn't busy making tight circles around the 100th or so generator you have to turn on to advance the story waiting for you."
11,1,0.9219,"alien, time, go, hide, see, run, walk, first, save, back","Found this incredibly boring as soon as the alien gets introduced. Gameplay goes as follows. Crouch your way into any room, hear heavy footsteps that are getting closer. Hide in the closet. The alien will always come and check the room you hid in, keep holding your breath for like a minute till the thing goes through it's ritual and eventually goes away. Attempt to crouch out of the room and hear the thing going back towards you. Get back to the locker, watch the alien sniff the room again, hold your breath, get out of the locker. 
If you've got the patience to keep doing this for however many hours this game lasts then play it.
I've got around 500 other games in my library that don't test my patience like this."
12,1,0.8921,"alien, time, go, hide, see, run, walk, first, save, back","worst game ever. there is nothing you can do when alien is near you. you hide in a spot, after a while he comes and kills you. you wait until it goes away, he goes and comes back immediately after you step out. you rush, you die instantly. just dont buy this game. go buy robux instead"
13,1,0.8791,"alien, time, go, hide, see, run, walk, first, save, back","The alien, a central aspect of the game, spawns randomly and searches for you randomly. This completely destroyed the game for me.
The game just turns into pure luck encounters. The first time I encountered the alien it literally spawned directly on top of (from a vent). After reloading I was soooo prepared and the alien spawned somewhere different where I did not even notice it until the next level.
The worst thing, the first time I wasn't even sloppy, the atmosphere is great and made me sneak the whole time.

After this the game was no longer the same or fun. You just watch every vent hoping it would not randomly spawn next to you again. And then a few levels later the alien spawned where I could clearly see it and I had to go. It walked back and forth, but never left.
I quit and uninstalled. Not fun at all. Also left me with the frustration of wasting the time up until this point."
