,topic_num,topic_perc_contrib,keywords,text
0,0,0.8078,"movie, fan, feel, film, original, first, franchise, make, true, atmosphere",A game that is perfect. A true masterpiece that manages to capture the terror of the first Alien movie.
1,0,0.7849,"movie, fan, feel, film, original, first, franchise, make, true, atmosphere",A MUST play for any true fan of the franchise (especially fans of the first movie!)
2,0,0.7642,"movie, fan, feel, film, original, first, franchise, make, true, atmosphere","The perfect game for fans of the Alien franchise. Gameplay was good, and the respect for the source material was stellar."
3,0,0.758,"movie, fan, feel, film, original, first, franchise, make, true, atmosphere","A good adaption and capture of the atmosphere of the first movie. Best Alien game yet, hands down."
4,0,0.7552,"movie, fan, feel, film, original, first, franchise, make, true, atmosphere","Perfect for any fan of the Alien series, wonderfully captures the atmosphere of the original movies while providing something original."
5,0,0.7505,"movie, fan, feel, film, original, first, franchise, make, true, atmosphere",A faithful thematic representation of the first Alien film. The first true Alien ghame fans deserve.
6,0,0.7499,"movie, fan, feel, film, original, first, franchise, make, true, atmosphere",Captures the mood of the first Alien movie in an excellent way.
7,0,0.743,"movie, fan, feel, film, original, first, franchise, make, true, atmosphere","MmmhhmMMm... A perfect organism... Its structural perfection is matched only by its hostility. MmmHmm... I admire its purity... A survivor... Unclouded by conscience, remorse, or delusions of morality... Mmhmh..."
8,0,0.7333,"movie, fan, feel, film, original, first, franchise, make, true, atmosphere",Captures the terror of the original movie perfectly.
9,0,0.7328,"movie, fan, feel, film, original, first, franchise, make, true, atmosphere",A Masterpiece.  Truly faithful to the original film. 5 Stars.
10,1,0.9728,"alien, go, make, find, time, see, thing, way, hide, kill","I've said it once, I'll say it again. Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe Never is always safe. Words to live by, escpecially in this case"
11,1,0.9587,"alien, go, make, find, time, see, thing, way, hide, kill","I knew it was nearby. That... creature.

I hid in the vents, hoping that it would pass me by. I found a small nook, just a bit off of the main vent passage, and hide there. I could hear it moving. Then i hear the vent entrance open.

It was in there with me.

I prayed to whatever being might listen. To God. To Buddah. To C'thulu, on the off chance it might summon the beast back to wherever it had been summoned from.

I see it move up to the entrance to my little haven... and then past me. I hear the vent door on the far end open. I guess one of those beings must have heard me.

I move out into the main vent area...

And learn which deity responded to my pleas. There it was, waiting for me. It tricked me.

Dang it, C'thulu."
12,1,0.9423,"alien, go, make, find, time, see, thing, way, hide, kill",You are hiding in a locker. You hear the alien lurking around. You have to get down a hallway. Suddenly it moves away. you take a deep breath and exit the locker. You run ten feet and dive under a desk. You wait a minute. Coast seems clear. You slowly creep out from under the desk. THE AILEN DROPS OUT OF THE CEILING RIGHT IN FRONT OF YOU AND YOU DIVE BACK UNDER THE DESK ONLY A SPLIT SECOND BEFORE IT TURNS AROUND. It stalks around the room with heavy foot falls. Your heart is pounding. You creep back out. Look around. It is gone. You creep to the door. You open it. Nothing there. the hallway is clear. You move down the hall. There is nothing in the hall you can hide in. Oh no you went the wrong way. You turn around and the alien drops down several yards away. NO WHERE TO HIDE! You prey it doesn't turn around. If it turns it will see you. If it sees you it will kill you...buy the game to find out what happens next.
