,topic_num,topic_perc_contrib,keywords,text
0,0,0.6353,"read, control, continue, head, huge, spook, borderline, grenade, pew, review",Beast GAERM EVAR
1,0,0.6287,"read, control, continue, head, huge, spook, borderline, grenade, pew, review","Game glitched and won't let me continue
1/10"
2,0,0.5643,"read, control, continue, head, huge, spook, borderline, grenade, pew, review",I have got a Game review for this game on my youtube channel called markchill2
3,0,0.5618,"read, control, continue, head, huge, spook, borderline, grenade, pew, review","[i]Condemned: Criminal Origins[/i] but not scary, challenging, nor interesting. just a glorified [i]Half-Life[/i] clone with an ill-fitted Halloween costume."
4,0,0.5552,"read, control, continue, head, huge, spook, borderline, grenade, pew, review",Ther is no chineese lungage.
5,0,0.5228,"read, control, continue, head, huge, spook, borderline, grenade, pew, review",I can't read the subtitles....
6,0,0.5067,"read, control, continue, head, huge, spook, borderline, grenade, pew, review","F.E.A.R. is a standard first-person shooter that uses bullet time—that’s honestly all it is—which came as quite a surprise to me after reading the widespread reviews lauding it as one of the greatest shooters of all time. The plot is the typical what-has-science-done, with an Evil Corporation (as if there were any other kind in video games) in pursuit of engineering super soldiers. So a psychic military commander sends his puppet soldiers to take over Armacham Technology Corporation (ATC) headquarters, a warehouse emporium of weaponry, medikits, and indestructible office equipment. Enter the nameless, mute protagonist, as part of a special army unit designed to face paranormal threats, and his squad mates, who are consistently separated, injured, and subject to all manner of contrived reasons to keep them from interrupting the solo FPS design. “You’re just going to send him in alone???” the radio crackled for the umpteenth time. 

The gunplay was praised again and again as being spectacular, but it’s just a typical FPS experience. F.E.A.R.’s own iteration of the arsenal with which any FPS fan is familiar functions exactly as expected, with one exception; kicking people is far more damaging than multiple machine gun rounds piercing through their torsos. The only distinguishing feature of the gameplay is its infinitely accessible bullet time mode, which trivializes every encounter throughout the entire game, even on the hardest difficulty. Shifting in and out of bullet time mid combat is pretty, but nothing near the level of mind-blowing so universally spouted from critics. It is by no means bad; it’s decent, but only that.

Enemy AI was next on the list of sheer adulation, and was claimed to be “some of the best AI in shooter history.” Imagine my surprise when armored soldiers, who make up 80 percent of the game’s enemies, loudly proclaimed through their megaphone helmets that they were throwing a grenade at me, which then detonated two feet in front of them. I don’t remember if any of them ever did manage to hit me with a grenade, but I do know they were constantly informing me of what they were going to do, or how many of them I had killed. And for some reason, whether I was hiding behind a box, retreating, or charging head on, they would constantly shout at me, “HE’S TRYING TO FLANK US!” It’s not their fault, I suppose; someone built their armor with megaphones in the helmets… but weren’t they supposed to be psychically coordinated soldiers?

I did begin to feel a certain attachment to these armored soldiers, for all their loud, bumbling ineptness. There were many times they could’ve had the drop on me, if only they had not shouted, “SHIT!!!” or something like that when they spotted me. At one point, an armored truck full of them tried to run me over, but when I moved out of the way, they just kept driving, right off a building. Sometimes one of them would shout to the other, “TAKE COVER!!!” to which the other, surrounded by hallways, doors, tables, and walls, would scream, “I DON’T KNOW WHERE TO GO!!!” I even started to let them have all the time they needed to awkwardly wiggle underneath fences or clamber over walls in plain sight of me before I gunned them down. 

Of course, no review of F.E.A.R. would be complete without mentioning the horror, something which critics across the board have deemed bowel-voidingly scary. But it just wasn’t. Throughout the game, several hallucinations occur that are supposed to be unsettling, but 99 percent of them can’t actually hurt you. With no real effect upon the player, and no way to interact with them, the visions take on a haunted house ride kind of feel—spooky happenings just outside the safety of a cart on tracks. I found myself startled once or twice upon turning around to see a little girl just behind me, but when I discovered that I could move toward and back away from her indefinitely to raise and lower the volume of the scary violins, I couldn’t help but laugh. 

The ever popular mechanism of discovered audio tapes takes the form of voicemails, but the majority of them are poor voice actors reading aloud passive aggressive corporate squabbles. They failed to flesh out the story to any further degree than what-has-science-done; the game as a whole never delivers on its narrative. Ambiguity is a useful tool in crafting horror, but F.E.A.R.’s story remains largely undeveloped by the end of the game. I think some developers wanted to make a standard action shooter but were also into Japanese horror films, so the result was a standard action shooter with Japanese horror elements that might as well have been delivered from a TV screen.

I will close with some of the non spoiler questions this game has left me to consider on my sleepless nights. Firstly, why do dead bodies sometimes randomly fly through windows, and why are there so many in the ceilings? ATC headquarters was taken over by psychically controlled soldiers, right? How did they even get the bodies up there in the first place? Or was it the little girl? Was she just stuffing them up through the tiles so they could conveniently fall down as I passed? And why does the protagonist spontaneously combust when he falls into pits? I did it several times out of disbelief, but sure enough, just before the screen went black, orange flames engulfed my entire body. What exactly are those shinless, tan men who float into me and pop like a fleet of suicidal balloons? And why do the armored soldiers sometimes blast off like rockets when I shoot them in bullet time mode? Machine gun fire shouldn’t send an armored body rocketing across a room, bouncing off walls and screaming. 
"
7,0,0.4301,"read, control, continue, head, huge, spook, borderline, grenade, pew, review",My exciment for this game drastically waned after the first hour. It just drags on. I should have just played the demo and been happy with that.
8,0,0.4281,"read, control, continue, head, huge, spook, borderline, grenade, pew, review",Stole From John Wu
9,0,0.4189,"read, control, continue, head, huge, spook, borderline, grenade, pew, review",A mediocre action game everyone else has convinced themselves is good
