,topic_num,topic_perc_contrib,keywords,text
0,0,0.9385,"fix, love, people, talk, kill, ever, gaming, crash, hold, fine","If your looking for a review on this game you've come to the wrong place, but if your looking for an outstanding pie recipe you've come to the right place.

Ingredients:
1. 6 tablespoons unsalted butter
2. 1/2 cup white sugar
3. 1/2 cup brown sugar
4. 1/4 cup water
5. 1/4 teaspoon cinnamon
6. 1 pinch salt
7. 5 apples - peeled, cored and sliced
8. 1 pastry for double-crust pie 

Directions:
1. Preheat oven to 425 degrees F (220 degrees C).
2. Combine butter, white sugar, brown sugar, water, cinnamon, and salt in a saucepan over medium heat. Bring to a boil, remove from heat and set aside.
3. Roll out half the pastry to fit a 9-inch pie plate. Place bottom crust in pie plate; pour in apple slices.
4. Roll out top crust into a 10-inch circle. Cut into 8 (1-inch) wide strips with a sharp paring knife or pastry wheel. Weave the pastry strips, one at a time, into a lattice pattern. Fold the ends of the lattice strips under the edge of the bottom crust and crimp to seal.
5. Pour butter-sugar mixture over top of pie, coating the lattice, and allowing any remaining sauce to drizzle through the crust.
6. Bake in the preheated oven for 15 minutes. Reduce heat to 350 degrees F (175 degrees C), and bake until the crust is golden brown, the caramel on the top crust is set, and the apple filling is bubbling, 35 to 40 more minutes. Allow to cool completely before slicing.

Eat."
1,0,0.9381,"fix, love, people, talk, kill, ever, gaming, crash, hold, fine","If you're looking for a review on this game you've come to the wrong place, but if you're looking for an outstanding pie recipe you've come to the right place.

Ingredients:

1. 6 tablespoons unsalted butter
2. 1/2 cup white sugar
3. 1/2 cup brown sugar
4. 1/4 cup water
5. 1/4 teaspoon cinnamon
6. 1 pinch salt
7. 5 apples - peeled, cored and sliced
8. 1 pastry for double-crust pie

Directions:

1. Preheat oven to 425 degrees F (220 degrees C).
2. Combine butter, white sugar, brown sugar, water, cinnamon, and salt in a saucepan over medium heat. Bring to a boil, remove from heat and set aside.
3. Roll out half the pastry to fit a 9-inch pie plate. Place bottom crust in pie plate; pour in apple slices.
4. Roll out top crust into a 10-inch circle. Cut into 8 (1-inch) wide strips with a sharp paring knife or pastry wheel. Weave the pastry strips, one at a time, into a lattice pattern. Fold the ends of the lattice strips under the edge of the bottom crust and crimp to seal.
5. Pour butter-sugar mixture over top of pie, coating the lattice, and allowing any remaining sauce to drizzle through the crust.
6. Bake in the preheated oven for 15 minutes. Reduce heat to 350 degrees F (175 degrees C), and bake until the crust is golden brown, the caramel on the top crust is set, and the apple filling is bubbling, 35 to 40 more minutes. Allow to cool completely before slicing."
2,0,0.9381,"fix, love, people, talk, kill, ever, gaming, crash, hold, fine","If you're looking for a review on this game you've come to the wrong place, but if you're looking for an outstanding pie recipe you've come to the right place.

Ingredients:

1. 6 tablespoons unsalted butter
2. 1/2 cup white sugar
3. 1/2 cup brown sugar
4. 1/4 cup water
5. 1/4 teaspoon cinnamon
6. 1 pinch salt
7. 5 apples - peeled, cored and sliced
8. 1 pastry for double-crust pie

Directions:

1. Preheat oven to 425 degrees F (220 degrees C).
2. Combine butter, white sugar, brown sugar, water, cinnamon, and salt in a saucepan over medium heat. Bring to a boil, remove from heat and set aside.
3. Roll out half the pastry to fit a 9-inch pie plate. Place bottom crust in pie plate; pour in apple slices.
4. Roll out top crust into a 10-inch circle. Cut into 8 (1-inch) wide strips with a sharp paring knife or pastry wheel. Weave the pastry strips, one at a time, into a lattice pattern. Fold the ends of the lattice strips under the edge of the bottom crust and crimp to seal.
5. Pour butter-sugar mixture over top of pie, coating the lattice, and allowing any remaining sauce to drizzle through the crust.
6. Bake in the preheated oven for 15 minutes. Reduce heat to 350 degrees F (175 degrees C), and bake until the crust is golden brown, the caramel on the top crust is set, and the apple filling is bubbling, 35 to 40 more minutes. Allow to cool completely before slicing"
3,0,0.9381,"fix, love, people, talk, kill, ever, gaming, crash, hold, fine","If you're looking for a review on this game you've come to the wrong place, but if you're looking for an outstanding pie recipe you've come to the right place.

Ingredients:

1. 6 tablespoons unsalted butter
2. 1/2 cup white sugar
3. 1/2 cup brown sugar
4. 1/4 cup water
5. 1/4 teaspoon cinnamon
6. 1 pinch salt
7. 5 apples - peeled, cored and sliced
8. 1 pastry for double-crust pie

Directions:

1. Preheat oven to 425 degrees F (220 degrees C).
2. Combine butter, white sugar, brown sugar, water, cinnamon, and salt in a saucepan over medium heat. Bring to a boil, remove from heat and set aside.
3. Roll out half the pastry to fit a 9-inch pie plate. Place bottom crust in pie plate; pour in apple slices.
4. Roll out top crust into a 10-inch circle. Cut into 8 (1-inch) wide strips with a sharp paring knife or pastry wheel. Weave the pastry strips, one at a time, into a lattice pattern. Fold the ends of the lattice strips under the edge of the bottom crust and crimp to seal.
5. Pour butter-sugar mixture over top of pie, coating the lattice, and allowing any remaining sauce to drizzle through the crust.
6. Bake in the preheated oven for 15 minutes. Reduce heat to 350 degrees F (175 degrees C), and bake until the crust is golden brown, the caramel on the top crust is set, and the apple filling is bubbling, 35 to 40 more minutes. Allow to cool completely before slicing."
4,0,0.8058,"fix, love, people, talk, kill, ever, gaming, crash, hold, fine","I drowned a man in his own sick.
I blew a man up with a golf ball.
I ejected a man out of a jet without a parachute.
I crushed a man under a car.
I threw a mans heart in the bin.

These were some of my more tame kills."
5,0,0.801,"fix, love, people, talk, kill, ever, gaming, crash, hold, fine","Great game, I rate 8/8 but map releases are so slow you may as well bake a cake while you wait, mate:

Lemon cakes - Time to make 3hrs

- 3 cups cake flour
- 1 tsp baking soda
- 1/4 teaspoon salt
- 6 eggs
- 2 cups white sugar
- 1 cup butter, softened
- 2 tsp grated lemon zest
- 2 tbsp lemon juice
- 1 cup plain yoghurt

1. Preheat oven to 350 degrees F (175 degrees C). Grease one 10 inch tube pan.

2. Sift the flour, baking soda, and salt together. Set mixture aside.

3. Separate the eggs. In a large bowl beat the egg whites until soft peaks form. Gradually add 1/2 cup of the sugar, beating until stiff glossy peaks form. Set aside.

4. Cream butter or margarine, 1 1/2 cups sugar, egg yolks, lemon zest, and lemon juice together until fluffy. Add flour mixture alternately with the yogurt to the egg yolk mixture. Gently fold in the egg whites and pour the batter into the prepared pan.

5. Bake at 350 degrees F (175 degrees C) for 50 to 60 minutes. Let cake cool in pan for 10 minutes, then turn out onto a rack to finish cooling. Serves 12."
6,0,0.7632,"fix, love, people, talk, kill, ever, gaming, crash, hold, fine","I murdered a man by throwing a transplant heart in a bin.

10/10"
7,0,0.7617,"fix, love, people, talk, kill, ever, gaming, crash, hold, fine",Dressed up as a priest and killed people with circumsizion knife.
8,0,0.7344,"fix, love, people, talk, kill, ever, gaming, crash, hold, fine","In this game you can
	-Knock people out with cans of spaghetti sauce
	-Commit mass murder dressed as a vampire magician
	-Commit mass murder dressed as Santa
        -Commit mass murder dressed as a plague doctor
	-Kill Santa (Or knock him out if you don't want to ruin everyone's childhood)
	-Throw axes, soda cans, crowbars, and fire extinguishers
	-Be bald
	-Become a ninja (katana included)
	-Be HELMUT KRUGER
	-Push people off cliffs
	-Steal clothes
	-Do yoga
        -Hide in closets
	-Own a magic suit capable of storing an infinite amount of items

10/10"
9,0,0.7321,"fix, love, people, talk, kill, ever, gaming, crash, hold, fine",A+ would smother a douchebag singer in his own birthday cake again.
