,topic_num,topic_perc_contrib,keywords,text
0,0,0.8891,"fun, server, zombie, friend, want, really, first, well, bad, feel","Those stinky farting chinese spamming servers really annoying, my server list basically is full of sh!t, and i can't even get rid of those f*cken cockroaches."
1,0,0.8766,"fun, server, zombie, friend, want, really, first, well, bad, feel","Original Left 4 Dead is better.
-pistols are pure garbage (to under powered)
-melee weapons feels overpowered
-more woke then first part

+have workshop
+mutators
All this just could be added to the first part as expansion pack."
2,0,0.8764,"fun, server, zombie, friend, want, really, first, well, bad, feel","Game is really really great in about every way, but in the 4th campaign theres a corner that clips weirdly and totally breaks immersion, basically unplayable."
3,0,0.8593,"fun, server, zombie, friend, want, really, first, well, bad, feel","Unpopular opinion maybe? I don't like this game at all. Every zombie stuns you. That's not fun. Every gun feels really bad to shoot; there's practically no feedback when hitting zombies. That's not fun. The special infected, with the exception of the Witch, feel bad to play around (mostly due to their abilities just being an extra long stun). The maps being the same every time means if you don't play this game to the point of having the layouts memorized, you're going to get lost while your friends leave you behind. I acknowledge this is a literal skill issue... but it's still not fun.

I give this game and its predecessor all the credit in the world for basically kick-starting the wave shooter genre (which gave us Deep Rock Galactic), but I feel like the concept has since been improved upon to such a degree that I find this game borderline unplayable now."
4,0,0.8502,"fun, server, zombie, friend, want, really, first, well, bad, feel","The official servers provided by Valve itself have been under attack by ld!0t(s) with no life for months, they are completely unplayable and Valve has been unable to solve the issue, or worse, they never tried to solve the issue of a game they still charge.
The community is full of pathetic griefers and votekicking system can be easily manipulated by anyone who thinks they are better than you.

Don't buy unless you want to play in modded third-party servers."
5,0,0.8258,"fun, server, zombie, friend, want, really, first, well, bad, feel","Get from A to B while defeating random waves of zombies. That's literally it.

Game has some interesting lore, but you won't really notice it during gameplay.

Maybe it's fun with friends, idk, I have no friends."
6,0,0.7937,"fun, server, zombie, friend, want, really, first, well, bad, feel",tis gam is so bad that i started sharting during playing then i bwarfed and parted and buked
7,0,0.7907,"fun, server, zombie, friend, want, really, first, well, bad, feel","For the past months the servers have been massively under DDoS attacks. The online play is simply UNPLAYABLE.
For that reason thumbs down!
Do not recommend until this issue is resolved!!"
8,0,0.7884,"fun, server, zombie, friend, want, really, first, well, bad, feel",literally unplayable in multiplayer in its current state with ddos attacks
9,0,0.7817,"fun, server, zombie, friend, want, really, first, well, bad, feel","very fun game, but for 4 months now the official dedicated servers have been getting DDoS. Please fix the game valve."
