,topic_num,topic_perc_contrib,keywords,text
0,0,0.8261,"make, well, much, back, like, come, workshop, thing, try, way",you bitch you bitch you bitch you bitch you bitch you bitch you bitch hey peter you bitch you bitch
1,0,0.7922,"make, well, much, back, like, come, workshop, thing, try, way",raaaaaaaa raaaaaa bang bang bang BOOM bleeghghhhh KABOOOOSh waghhrrr BEEP BEEEP BEEeep beep beep ᵇᵉᵉᵖ ᵇᵉᵉᵖ ᵇᵉᵉᵖ ᵇᵉᵉᵖ KABOOOOM cough cough cough gargglle sllllooorghhh AAAAAAA
2,0,0.7894,"make, well, much, back, like, come, workshop, thing, try, way",The only thing i complaint about L4D2 is the default AI/bot partner is terrible. You have to get better AI/bot mod from workshop.
3,0,0.7856,"make, well, much, back, like, come, workshop, thing, try, way","I'll have 2 number nines, a number nine large, a number six with extra dip, a number seven, 2 number forty-fives, one with cheese, and a large soda."
4,0,0.7789,"make, well, much, back, like, come, workshop, thing, try, way","""I'll have two number 9s, a number 9 large, a number 6 with extra dip, a number 7, two number 45s, one with cheese, and a large soda."""
5,0,0.7714,"make, well, much, back, like, come, workshop, thing, try, way",Facebook's color scheme is blue because owner Mark Zuckerberg suffers from red-green color-blindness.
6,0,0.7647,"make, well, much, back, like, come, workshop, thing, try, way","it's better than back 4 blood (i don't own B4B, but ik, how it proved, that valve carried this game)"
7,0,0.7546,"make, well, much, back, like, come, workshop, thing, try, way","Since I got this game, I got:
Influenza
Diabetes
Alzheimer's disease
Hypertension
Asthma
Arthritis
Parkinson's disease
Cancer
HIV/AIDS
Heart disease
Stroke
Chronic obstructive pulmonary disease (COPD)
Osteoporosis
Multiple sclerosis
Hepatitis
Malaria
Tuberculosis
Cholera
Ebola
Dengue fever
Zika virus
Measles
Chickenpox
Rabies
Lyme disease
Leukemia
Melanoma
Crohn's disease
Ulcerative colitis"
8,0,0.7409,"make, well, much, back, like, come, workshop, thing, try, way","When I cough, I think of the Smoker and immediately just start coughing in the worst way possible. 10/10 game, my lungs haven't been better."
9,0,0.7377,"make, well, much, back, like, come, workshop, thing, try, way","One must imagine players in public lobbies trying to get the ""Still Something to Prove"" achievement mentally sane"
10,1,0.84,"time, great, still, ever, even, year, recommend, old, many, classic","Buy It Now buy it now Buy It Now buy it now Buy It Now buy it now Buy It Now buy it now Buy It Now buy it now
"
11,1,0.8233,"time, great, still, ever, even, year, recommend, old, many, classic","This game is great even 14 years later! If you're skeptical about buying this because its old, it is still worth playing."
