,topic_num,topic_perc_contrib,keywords,text
0,0,0.8785,"buy, money, work, run, pc, fix, still, say, try, start","DO NOT BUY ON MAC

2014 MBP with 2GB dedicated graphics.

Even with graphics on low, the in game benchmark averaged 20fps. An absolute trainwreck of a port, what a waste of everyone's time."
1,0,0.8639,"buy, money, work, run, pc, fix, still, say, try, start",game don't work no more. it used to work on the same system but now runs very poorly and loads forever on either hdd or ssd. reading some steam discussion looks like other people have the same problem
2,0,0.8524,"buy, money, work, run, pc, fix, still, say, try, start",I can't even play this game on my pc it keeps crashing. So I don't know how to return it but its in my library. It is saying I have .5 hours played but that is me trying to start the game over and over lol.
3,0,0.8396,"buy, money, work, run, pc, fix, still, say, try, start","would be great if i could play it when i wanted to, keep getting shutdown errors when trying to load it. being more trouble than its worth..... waiting for dlc and have been since first week it released. not worth the money i paid for it at this point!"
4,0,0.8209,"buy, money, work, run, pc, fix, still, say, try, start",Sorry I can't recommend a game that won't launch. Computer is not the issue here. Played the first 20 minutes 60 FPS on ultra and then couldn't launch the game later coming back.
5,0,0.8201,"buy, money, work, run, pc, fix, still, say, try, start","Crashes constantly, 6 hours later, I've tried a few of the fixes that I could find, still crashes constantly."
6,0,0.8187,"buy, money, work, run, pc, fix, still, say, try, start","I cant launched the game anymore,, when i try to launch it, the store page keep launched instead."
7,0,0.8177,"buy, money, work, run, pc, fix, still, say, try, start","it crashes everytime i load it up and i don't know how to fix it

il maybe change this review if it works again"
8,0,0.8171,"buy, money, work, run, pc, fix, still, say, try, start","what? these retards think that only young kids with great reflexes like playing games such as SOM? In the future, I'll make sure I and others who feel the same do not spend any money on Monolith and WB products. And who are we? We'ere the people who buy, trade, and sell the stocks for these companies."
9,0,0.8132,"buy, money, work, run, pc, fix, still, say, try, start",This is the first game I've bought which can't find my graphic cards. I've tried two laptops and no go. Seems this game has a major issue with hardware so make sure you google a bit about your specific card before buying this game.
10,1,0.8298,"open, computer, video, bug, close, buck, hate, damn, error, patch","I'd like to play it but the combat is so boring. 

Left click Left click Left click Left click Right click Left click Left click Left click Left click Right click Left click Left click Left click Left click Right click Left click Left click Left click Left click Right click Left click Left click Left click Left click Right click Left click Left click Left click Left click Right click Left click Left click Left click Left click Right click Left click Left click Left click Left click Right click"
11,1,0.7536,"open, computer, video, bug, close, buck, hate, damn, error, patch","this game is nuts, too gud to be played by skeptics bout video game industry. (so that i'm not recommendin it)"
12,1,0.7295,"open, computer, video, bug, close, buck, hate, damn, error, patch","(Guest review by Ghorgash Facepuncha da Face-Puncha, ork freebooter warboss)

Dis game iz terribul.

Yoo play az a dum zoggin' humie git who'ze fam'ly gets fragged to zog (by UVVER HUMIES might I add), an' den insted'a killin' da gitz wot fragged 'im, 'e goes on a murderin' rampage killin' every ork dat moovs.

Dat's da whole game. Yoo just walk round an' kill orkz, mosta which iz just mindin' dey own bizness or iz defendin' demselves. Dat'z da hole storee. Dere'z even a sneaky-git-type ork dat helpz you kill da uvver orkz so 'e can be da boss, but after 'e helpz yoo, 'e getz zogged by anuvver humie. Servez 'im right fer helpin' ork-murderin' humiez, but still...

I played dis game fer lotsa minnits an' hours n' such, figurin' dat since it was wun a dose ""Sassin'z Kreed""-type gamez dat dis wuz just da tutorial, an' da game wud open up more az it introdoosed more intrakit gameplay mekaniks, but wut happened next made me kwit da game. Yoo see, after da first haff o' da game, yoo get da power not just ta kill orkz, but to ENSLAVE dem! Dat'z rite! Yoo use dum zoggin' pointy-eared majiks ta make orks fink dat humiez iz better den orkz and dat dis humie is dere warboss. Dat ain't rite!

An' da orkz in dis game ain't even green! Dat'z unrealistik! Klearly dey didn't have any orkz on da game design teem. Dey'z all even voised by da same humie, doin' a reelly bad ork accent! Dat'z not what orkz sound like! Dey sound like dis: WAAAAAAAGH!!!

So yeah. Dis game iz terribul, unrealistik, an' rasist 'gainst orkz. Don't buy it."
13,1,0.674,"open, computer, video, bug, close, buck, hate, damn, error, patch","Middle earth, shadow of mordor. Where do I begin? Do I begin with the factual information that my penis size is 2 inches hard, 3 soft? Or sha'll I read an excript from the holy bible? None of the above, because this game sucks horse ass. It is not lotro. Not even close. 0/10 lotro levels"
14,1,0.6643,"open, computer, video, bug, close, buck, hate, damn, error, patch",If you read most of the middle earth books before you play that garbage you will definitely hate this game. No doubt!
15,1,0.6367,"open, computer, video, bug, close, buck, hate, damn, error, patch","BOYCOTT WARNER BITCH GAMES FOR TRYING TO COPYRIGHT GAME MECHANICS. THATS LIKE A MUSICIAN COPYRIGHTING CHORDS. THIS. IS. NOT. OK.

https://www.techradar.com/news/warner-bros-nemesis-patent-is-terrible-for-the-games-industry-heres-why"
16,1,0.6321,"open, computer, video, bug, close, buck, hate, damn, error, patch","one man wipes out mordor™

[h1] 3/7 [/h1]"
17,1,0.6254,"open, computer, video, bug, close, buck, hate, damn, error, patch","REPETITIVE, BORING, SOMEWHAT PUERILE, PRETTY FUCKING EASY GAME.
ONLY TWO OF THREE OF THE ACHIEVEMENTS ARE HARD
JRR TOLKIEN JUST PLAGIARIZED NORDIC MYTHOLOGY AND RIPPED ALL THIS OFF FROM THAT,  AND RIPPED OFF THE WAGNER OPERAS, ENTER THE ""RHINE GOLD RING"".

TERRIBLE, JUST AWFUL, DIGITAL DELIVERY PLATFORM ON TOP OF THAT
"
18,1,0.622,"open, computer, video, bug, close, buck, hate, damn, error, patch",middle earth: middest of the mordor
19,1,0.5803,"open, computer, video, bug, close, buck, hate, damn, error, patch",What an overhyped piece of garbage.
20,2,0.8554,"control, button, bad, want, time, press, right, ever, shit, click",WHO USES SPACE TO RUN? Universal sprint button is Left shift. The keyboard controls are god awful. Get this if you're playing on controller. The Keyboard controls are absolutely horrible.
21,2,0.7894,"control, button, bad, want, time, press, right, ever, shit, click","Mash the button.  MASH IT SOME MORE.  Are you mashing that button yet?  Well you better mash that button until your fingers bleed, or the orcs are gonna git ya,"
22,2,0.7773,"control, button, bad, want, time, press, right, ever, shit, click","I play this game on my macbook, and the game sensitivity is too high to control, there is no way to turn down the sensitivity."
