,topic_num,topic_perc_contrib,keywords,text
0,0,0.8249,"great, fun, amazing, story, love, like, really, recommend, graphic, gameplay",Middle-earth: Shadow of Mordor is a great homage to the lord of the rings unieferse it dosent ubstrucred with the books and the dlc is a great exp[ancion to the storys
1,0,0.8156,"great, fun, amazing, story, love, like, really, recommend, graphic, gameplay",this game is fun and really adictive the graphics are great and the gameplay  is amazing. overall great game
2,0,0.8077,"great, fun, amazing, story, love, like, really, recommend, graphic, gameplay","Great game amazing story gameplay is amazing if you like assassin's creed you will love this game
"
3,0,0.7998,"great, fun, amazing, story, love, like, really, recommend, graphic, gameplay","- Great story

- Great Graphics

- DLC's with good content

- And MUCH MUCH more!"
4,0,0.787,"great, fun, amazing, story, love, like, really, recommend, graphic, gameplay","The Graphics are amazing, the story line is amazing, and the game play is amazing... This game is just AMAZING. A must play!"
5,0,0.7821,"great, fun, amazing, story, love, like, really, recommend, graphic, gameplay",Very fun and interactive. Lots to do and explore. Great story line
6,0,0.781,"great, fun, amazing, story, love, like, really, recommend, graphic, gameplay",I am a huge LOTR fan and loved this game. Definitely recommend it. Plays a lot like an assassins creed game.
7,0,0.7787,"great, fun, amazing, story, love, like, really, recommend, graphic, gameplay","Fantastic story, great and tight gameplay, if you are interested and have enjoyed this style of game, I highly suggest picking it up if you can afford it."
8,0,0.7715,"great, fun, amazing, story, love, like, really, recommend, graphic, gameplay","Amazingly fun game. Great visuals, great story line, great gameplay. I highly recommend it."
9,0,0.7603,"great, fun, amazing, story, love, like, really, recommend, graphic, gameplay","Great game had fun
If you like the Batman: Arkham games and the Assassin's Creed games you love this a great mix of both."
10,1,0.9017,"time, feel, mission, hour, really, thing, story, much, bit, first","It is a very fun game I dont want to take anything away from that I enjoyed every moment I put into it. However my complaint is only that It was very short. I put in just shy of 40 hours, completed the main mission line and a fair amount of side missions, leveled up all the way up, and feel no need to go back."
11,1,0.8577,"time, feel, mission, hour, really, thing, story, much, bit, first","This was a good game, but not brilliant. After a while it gets quite monotonous, but the base game kept me gripped enough to see it all the way through to the end.

The DLC was just a bit too much of the same, with minor differences to the base game. I didn't get past ten minutes of either story campaign.

Expect tons and tons of fighting, with a few cutscenes here and there. Don't expect a massive difficult boss fight at the end.

Everything is a lot of work with little reward, but don't let this put you off if it's on special again."
