username,date,score,review
adamflame7,"Jun 14, 2024",8,"A solid old school shooter. It's not trying to do too much and pulls off what it is doing quite well. I pretty quickly understood why the game gets mentioned and complemented on the enemy AI. They take cover, they flank, they're pretty accurate and pose a very real threat in most encounters. I couldn't get the idea of this being Half Life plus horror out of my head. Some of the level design, shooting, physics, and movement felt very like that of HL. All in all, a pretty solid horror fps, that both makes you feel very powerful at times yet still manages to keep my hair standing up at times.
I am a mega scaredy cat when it comes to horror and I did ""okay"", not super friendly, but not too in your face. It does need a couple easy tweaks to play well on modern hardware."
Cristiano_Lin,"Apr 4, 2024",4,"First some good things, really good Ai even for today. The Graphics are also good for 2005 and the controls aren't bad, nothing special. I really don't know what is happening in the story, you follow one guy and more I don't know. The game feels like a mix between Doom 3, a new guy have to fight against some randomn enemys on his own. The other part of the mix is a generic shooter. This game is nothing special,if I have to discribe it in on sentence I would say: It is like Doom 3, but Enemys have guns and they are smarter."
OzgurOri,"Mar 15, 2024",9,"I don't understand how it is possible to make a game like this in 2005. Its artificial intelligence is smarter than most people I know and it often feels like it is reading your mind, but despite this, it offers a very balanced difficulty. IT IS DEFINITELY A GAME THAT EVERYONE SHOULD TRY AT LEAST ONCE."
legitretard16,"Feb 1, 2024",10,"Truly amazing. The feeling of shooting in slow-motion with the shotgun is just superb. It's a shame we don't get games like this anymore. True, the story is obviously a b-movie plot, but the way they have carried it forward with the cinematics, you just have a keen interest on what's going to happen next. The A.I. of the enemies are also outstanding. Definitely a must try!!"
majesty_x,"Jan 19, 2024",8,Graphics: 7/10; Storyline: 7/10; Gameplay: 9/10; Atmosphere: 8/10; Music: 8/10; Summary rating: 8/10
LT_Gruber,"Dec 28, 2023",10,[SPOILER ALERT: This review contains spoilers.]
JuanLavalle321,"Oct 15, 2023",9,"Good athmosphere and horror environment, combat changes with every encounter, great graphics even for it's release date, the gameplay becomes a little repetitive after the final hours of gameplay."
Richard_dias,"Aug 15, 2023",9,"The first of its kind, F.E.A.R. is high regarded as one of the best FPS games ever, and I do agree with that! Very good level design, art direction and pretty fun action packed combat."
M300,"Aug 3, 2023",5,"The game **** at scaring you, and if the scares don't work it turns out to be mostly a corridor shooter but with quite good AI and decent gun mechanics.

I can't leave a negative because this is a review from 2023, for 2005 this is an epic level of technical achievement that can be felt whilst playing, it's quite eye opening just how bad some newer games are at AI and gun play.

The game becomes repetitive by around interval 5, it loses all of it's magic if any it had to start with.

There is zero difficulty to any enemy engagement if you are around average or above average at shooting with a mouse.

I played on medium difficulty and thought I was playing in a hospital because there were so many med packs and I was always full of them, I also forgot I had a slow-mo feature because enemy encounters were that easy.

Other than that though? yeah it's a run of the mil shooter campaign not bad and by today's standards not good either."
RexFactorem,"Jul 18, 2023",9,[SPOILER ALERT: This review contains spoilers.]
