username,date,score,review
Joseph_Murdok,"Jun 12, 2024",3,"Boring story, all is the same (open world is only for GTA, Halo is for single missions) everything is UNSC, UNSC, where is an elite story mode? Damn microtransactions, NO PLAYABLE ELITES, not being able to select the colors you want in multiplayer, multiplayer maps are all humans, no variety of ANYTHING with 343 Halo has been bulsh/t, bring back the playable elites, bulsh/t 343"
DontBeAJinx,"Jun 6, 2024",8,"the open world added to the story of Halo is nice... different from the other games, no interest in multiplayer but the campaign was good.."
LePuh,"May 28, 2024",10,A really goodlooking and playeble Halo. The OW is awesome and is a masterpice in the HAlo universum
JamieMoran,"May 27, 2024",2,"Really poor addition to what was a great series. Multiplayer is broken and the maps are just not fun.

The campaign…I don’t know where to start! It just doesn’t hit like the others.

An iconic Xbox mascot dragged through the dirt and ruined."
redboy13,"May 27, 2024",7,"This game have all to be one of the best, but incompetent decisions of 343 and Microsoft kill it. such a shame to have a game with awesome potential and throw it to the garbage with **** ass micro transactions"
dragonsCarnage,"May 25, 2024",9,"After Halo Guardians, it seems they came back to what was good about Halo. Decent story, really fun to play"
Brothe,"May 25, 2024",10,"Perfection
This game is just amazing Whether It's The amazing multiplayer or the spectacular story this game is just perfect play it NOW"
Marinesg,"May 23, 2024",7,"Bueno en papel, malo en ejecución.

Halo Infinite, aunque es un viaje a sus raíces, se queda corto con lo que la saga Halo representa. Es un juego que, en su mayoría, se siente como una versión beta y recortada de un título que quiere hacer mucho y abarca poco.

Positivo:
.Jugabilidad renovada y adictiva
.Gráficos y ambiente

.Negativo:
.Misiones un poco sosas
.Poco avance en la historia y solo pequeños momentos memorables."
SushiKiller,"May 23, 2024",1,"Very classic, but not in a good way. A bad COD unfortunately. No originality, graphically not ugly but not cute either."
Scwarf,"May 22, 2024",10,Great game. I play multiplayer mostly and I think 343 have made a great version of Halo.
MegustaXbox,"May 21, 2024",10,Ma que magnifico juego soy muycontento quando yo juga este juego de la team xbox.
Rysak23,"May 18, 2024",4,"Как подобный высер реально вышел в 2021 году, мне крайне сложно понять. Абсолютно безликий и банальный арт дизайн, неинтересный и скучный сюжет, отвратительная, просто блять уебищная графика для игры 2021 года. И СУКА НЕВЫНОСИМЫЙ ОДНОТИПНЫЙ УЕБАНСКИЙ ТИР. Как блять можно играть в хуйню, где на тебя одного бегут десятки, я не преувеличиваю и не утрирую, десятки ебаных мобов, бегущихна тебя. Я очень надеюсь, что на Xbox эта хуета набрала 7.8 баллов из-за накрутки, но никак не потому что фанаты этого говна такие тупые. Ну либо из-за мультиплеера. Потому что когда до 3 часа игры добрались лишь только 20 процентов игроков, это говорит о том, что не только я в сюжет этой дресни недоиграл.

Скинул этот кал на 5 часу"
mulkster77,"May 15, 2024",10,Pure fun like the good ole days. Would love campaign updates. I like swinging from the grapple.
Bowber,"May 12, 2024",8,"From The down fall of Halo 5, this game really give you hope that there is still more for the chef waiting. Halo infinite brings the best parts of Halo back to life in a epic open world fill with objectives and new exclusive weapons. The story feels off and not that good with addition like the Endless which really takes the spot light off the flood. The game really brings you back to the first game with that old Masterchef look that you take resemblance from Halo 2 and 3. This is a great reminisce of the original game the Bungie put to order and an expansive world to go with."
Zelarido,"Apr 28, 2024",10,"They definitely fixed the issues they had with the story in the previous games. Also, the Multiplayer is as fun as ever and free!"
yousufv1,"Apr 18, 2024",9,This game is absolutely amazing. It was a bit underwhelming but other than that this is amazing
D3KU2511,"Apr 10, 2024",9,"Easily one of my favorite halo games, the campaign is one of my favorites, and the last time I played a multiplayer for any game this much was back on halo 3. Had a rough launch, but the movement in this game feels so amazing."
edenlie,"Apr 9, 2024",7,"game is not bad but for me is the worst of the series, story is not so good.
I was expecting a turning point then the game ended leaving me with bitter taste.
open world is a little boring"
Leon12,"Apr 5, 2024",8,[SPOILER ALERT: This review contains spoilers.]
CGnomazoid,"Apr 4, 2024",6,"It's such a shame that such a good foundation has been completely abandoned. The current 'season' is just a single meme mode as far as I can tell. Player counts dwindling... What happened? The campaign is pretty lame, but the weapon is one of my favorite AI waifus don't me."
Jojogamer_,"Mar 30, 2024",0,Ranking System ist komplett dumm mit diesem beschissenen unsichtbaren rang. im meine wie dumm muss man im Kopf sein um so etwas in sein spieleinzubauen. Ansonsten 10/10
Kipperfaust,"Mar 26, 2024",8,"Missing lots of content at launch, took a year and a half to get to the state it should have been, but we finally have a complete game. Campaign is a good play the first time around, but after that, the flaws start to show. Art style is closer to the original trilogy, which but feels like it's at the expense of the graphical fidelity that 4 and 5 brought to the franchise. Don't expect a masterpiece, but it's still a great new addition to the Halo franchise, especially the multiplayer."
