username,date,score,review
Mmlko,"May 22, 2024",10,"Muuuuuuuuito bom






099900099900009999999999999999999999999999999999999990"
cread1,"Apr 22, 2024",9,This game will always remain a classic cooperative zombie shooter to look up to.
CrushinMangos,"Apr 13, 2024",8,"Left 4 Dead 2 left like the first ""small game"" to have a huge impact.  While not quite Halo or COD this was another must own game for middle school in the late 2000s. Adding in the original Left 4 Dead maps was a great idea and the game still gets the update or two every once in a while"
AbstractS04,"Apr 5, 2024",8,"Despite it no longer being available on the Xbox Marketplace, it is definitely worth it if you get your hands on a physical copy. 'nuff said, it's a great game. Now if you excuse me, I'm gonna be busy being a one-man cheeseburger apocalypse"
MatthewLim,"Mar 27, 2024",10,"Left 4 Dead 2 is one of the best and most fun video games that I've ever played. It has an incredibly fun and engaging gameplay, nicely designed environments, uncommon and special infected, fun campaign, graphics, sound, weapons, and various med-kits. What I really love about playing Left 4 Dead 2 as a zombie game is the tension I feel from the use of music several dark environments, and the threat of special infected that makes you rely on teamwork. Additionally, what I also love is the fact that it also has the previous game's campaign in it with improved visuals. The game may not have a narrative, but all the fun and innovation makes up for it."
AlanBR1998,"Mar 14, 2024",10,"Tão excelente quanto o seu antecessor, foram horas e horas de diversão no meu antigo X360 via splitscreen porque não tinha dinheiro pra pagar o pra jogar online kkkkkkkk"
UsernameMissing,"Feb 3, 2024",9,"Gunplay is amazing, is great with friends and its ok-ish in singleplayer. Singleplayer is really great for new players to gain experience!

Plus its dirt cheap."
Midavi,"Jan 21, 2024",10,"Gosto muito desse jogo é o meu jogo favorito,tem vários modos legais e da pra jogar de 2 no Xbox 360 aí jogo modo versus com o meu irmão"
osico,"Nov 14, 2023",10,juegazooo la verdad este juego es de nuestras infancia y todxs tuvimos buenos ratos y los seguimos teniendo :)
Winzidy,"Nov 3, 2023",8,the best zombie shooting game
Cariocaca,"Oct 27, 2023",10,So good enough
PyroRaider,"Oct 21, 2023",7,"Classic 2010s valve magic. Expansive co-op zombie shooter that is good  in it's base form, and gets much better thanks to the mods you can install, which can make your regular run much more fun and hilarious."
KedrukKillaz,"Oct 13, 2023",5,.
EvilVitalya,"Oct 11, 2023",10,10/10
4myyral,"Oct 9, 2023",8,indémodable et mieux que des triple A récents
Isaac879,"Sep 26, 2023",10,Good
RythVz,"Sep 26, 2023",8,solid 8
Timothy927,"Sep 25, 2023",9,9/10
veryrandomswag,"Sep 23, 2023",8,"i really enjoyed this game, detailed character, fun with friends, gamemodes and with a workshop?! this game is really fun."
BigLebowskiMan,"Sep 21, 2023",10,They need to remaster these games for the new generation of consoles or make a thrid third installment. Fans like myself have been waiting years to hear something about Left 4 dead 3
OnlyOneSale,"Sep 14, 2023",10,"Have so much love for this game it’s truly something incredible. It’s a timeless classic, even 15 years past release date you can easily find multiple multi player games for each campaign. The versus mode has sadly become full of try hard **** over the past few years, newer players would never be able to experience a game of versus without getting kicked for falling 0.2 seconds behind the team or missing an instant kill spot. The current players on versus mode leave no room for new players or less experienced players to experience such an amazing unique and fun game mode. 

The character are more rounded than the L4D1 survivors. The voice lines are fun and there’s so many secret dialogue hanging around the game just waiting to be discovered by picking up different weapons or just interacting with your teammates. I don’t think I will ever become tired of this game, simply incredible and is still up to todays standard despite its age."
M1sfiT,"Sep 3, 2023",9,Gaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaameeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeees!! l4d
ElKooi,"Aug 31, 2023",8,"Es una pequeña mejora del 1 pero aun asi esta bueno
Puedes jugar solo pero es mejor jugar con amigos ya que es mas divertido"
dylansgaming48,"Jul 28, 2023",9,this one is better then the first one great game and valve did left 4 dead 2 great good maps and zombie types overall just a great one
coolmattsinegar,"May 3, 2023",10,"Matthew Alexander ""Matt"" Sinegar [SIN-NA-GAR] (An EXTREMELY Mature & EXTREMELY Heterosexual (Straight) African-American/Black Man): Left 4 Dead 2 Is LITERALLY Still One Of My All-Time Favorite Horror Games."
Alex_Pilgrim008,"Apr 2, 2023",9,"Left 4 Dead 2 is a more complete game than its predecessor. While the gameplay remains the same, it features more of everything. You get more weapons, zombies and multiplayer modes. The campaign is longer too. If you love gory zombie-themed shooters, you'll love this. It's a great mix of cooperative and competitive matches. A true Valve classic. I would rate it with a 9.1 out of 10."
Kramirez0113,"Mar 2, 2023",10,"Violence isn’t the answer. It’s the question.





And the answer is YES."
LeftForDead,"Jan 14, 2022",10,"My tea's gone cold I'm wondering why I
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'll all be gray
Put your picture on my wall
It reminds me, that it's not so bad
It's not so bad
My tea's gone cold I'm wondering why I
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'll all be gray
Put your picture on my wall
It reminds me, that it's not so bad
It's not so bad
Dear Slim, I wrote you but still ain't callin'
I left my cell, my pager, and my home phone at the bottom
I sent two letters back in autumn, you must not-a got 'em
There probably was a problem at the post office or somethin'
Sometimes I scribble addresses too sloppy when I jot 'em
But anyways, **** it, what's been up? Man how's your daughter?
My girlfriend's pregnant too, I'm 'bout to be a father
If I have a daughter, guess what I'm a call her?
I'ma name her Bonnie
I read about your Uncle Ronnie too I'm sorry
I had a friend kill himself over some **** who didn't want him
I know you probably hear this everyday, but I'm your biggest fan
I even got the underground **** that you did with Skam
I got a room full of your posters and your pictures man
I like the **** you did with Rawkus too, that **** was fat
Anyways, I hope you get this man, hit me back,
Just to chat, truly yours, your biggest fan
This is Stan"
DisneyLover1,"Apr 27, 2021",9,"I thought Left 4 Dead 2 would become a failure after Valve stated after the original game dropped they would put out lot of DLC packs for L4D. When I heard that L4D2 was announced less than a year after L4D, I thought it would be a horrible game but nope.

The game is great with hilarious characters, cool environments, and LOTS OF ZOMBIES!!!! All the guns are fun to use & all the types of special zombies make this co-op game great. Thanks to the modding community, we can create completely quirky & incredible maps for all types of players."
Arya977,"Jan 11, 2021",9,"Gameplay..............Amazing
Graphics................Amazing
Story.......................Good
Score.....................Great"
FanOfFootball,"Aug 26, 2020",10,Best Game Ever!!! Tons of replay ability and still has a ton of dedicated players.
Acido,"Aug 6, 2020",10,"El mejor juego de zombies en primera persona, lo malo es que sobre la historia no cuentan mucho, en si el gameplay es de lo mejor en esa época."
Letismey,"Jul 22, 2020",9,Il est ouf ce jeu !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
TellinDreams,"Feb 17, 2020",10,"L4D2 is a one of a kind game, because of the vs & I hope that they remastered it or make L4D3 & it's the best online 360 game todate"
Noahboy,"Jul 15, 2019",9,"Although it's basically the same as its predecessor, it delivers the same amount of zombie-killing fun!"
brendo214,"May 22, 2019",8,Left 4 Dead 2 is basically the original game but improved in every single way.
Termin8ter,"Oct 2, 2017",8,"Well, the final Left 4 Dead game before Turtle Rock left Valve in 2011 to pursue new projects. L4D2 is, first and foremost, and blast to play. The gunplay is great, the HUD design is solid, and the art style really fits in the atmosphere of these games. The many zombie variants is cool, and the new weapons thrown in the mix are fun to use too. This game is a blast to play cooperatively, and solo too. However, the story isn't all that interesting or well told, and the gameplay, while being very good, isn't quite rock solid enough for the game to fall back on. Aside from that, L4D2 is a very fun game, but I'd say you should get it for a max of 15$."
JFRuiter,"Jul 10, 2017",10,"Hours and hours of fun. This game features a variety of gamemodes and is very easy to get into, especially with friends. Versus mode is extremely fun and is surprising competitive. However, beginners should beware of online play (versus mode specifically) until they get better at the game. Sometimes people take the game really seriously and will vote to kick those who are not as skilled. Besides this, there still are a lot of people who will work with beginners and help each other survive. I strongly suggest you purchase the DLCs as well if you buy Left 4 Dead 2."
