username,date,score,review
tevar,"Jun 8, 2024",7,[SPOILER ALERT: This review contains spoilers.]
Mrfuzz117,"May 7, 2024",10,Genuinely one of my favorite games. It was one of the first games I 100%ed and I can't recommend it enough.
nh59bany,"Feb 15, 2024",8,"Nice short and uninhibited trip to Mordor. Its gameplay is low threshholdy, compact and smooth without getting dull during its story. Its implications for the lore of Middle Earth is interesting and the Nemesis-system quite the jamboree. 

Completionists also find their meat with tricky challenges, collectibles that are sometimes connected to interesting lore and references to nerdy book details and side missions that keep on being fresh during its 14-18hrs of playtime."
Ac_Steez,"Jan 27, 2024",7,"Un tres bon jeu, le scénario est sympa, mais les missions sont beaucoup trop répétitifs. Le gameplay est cool, très bon système de combat, beaux finishers. Le jeu n’est pas très beau pour un jeu de 2014 en revanche. Dommage qu’on ne puisse pas se balader librement dans la map en revanche, on se fait attaquer constamment."
aemfariz,"Nov 11, 2023",8,[SPOILER ALERT: This review contains spoilers.]
Giann96,"Sep 20, 2023",4,Sin identidad en el gameplay y sandbox poco creativo.
PyroRaider,"Oct 21, 2023",8,"A clear ripoff of Arkane's Batman series, but a very fun ripoff. Combat is satisfying and the nemesis system is quite good, prompting other games to ripoff this mechanic. The story is whatever, the pacing can be extremely slow at times, and the combat can get a bit boring, but messing around with orcs in the open world and converting them to your army is very fun and unique. Might not keep your attention until the end, but still worth your time."
artorias95,"Oct 15, 2023",7,"Even though it may seem a bit repetitive its a pretty satisfying game, especially for LOTR fans. Recommended!"
Johnnylowfive,"Oct 11, 2023",10,ALMOST as good as the Arkham series and must play for LOTR fans and Arkham fans. Nemesis system is a lot of fun too
XxKrackonxX,"Oct 3, 2023",8,"عالم الميدل ايرث افتقد  لمثل هذه التجارب على مستوى الالعاب
احياء رائع لعالم  ميدل ايرث و الاختيار الامثل لتجسيد الفكرة في قلب الشر الاكبر 
موردور ,  تجربة رح تشبع فضولك حول ما يحدث في اراضي موردور اللي دايم تسالنا كيف تكون فيها الاحداث ما خلف الجدران السوداء"
Senerking,"Sep 29, 2023",10,Best mideleri earth game
porkprism,"Sep 16, 2023",10,"This game absolutely rocked. I’m a huge LOTR fan and this game hit every note for me. The stealth gameplay was top notch, the nemesis system was incredible and truly innovative. Got the platinum trophy."
