username,date,score,review
Aldaruk,"Jun 24, 2024",10,"It's wonderful that Naughty Dog has once again portrayed amazing gameplay coupled with the most profound storytelling I have ever seen. The Last of Us Part II is not a story of revenge as many people see it; it's a story of forgiveness, and how revenge and the cycle of violence will mentally and physically damage every party involved."
FilipInBlack,"Jun 23, 2024",1,[SPOILER ALERT: This review contains spoilers.]
izzy215,"Jun 22, 2024",10,"Genuinely a 10/10 game in every way with amazing story telling. The fact that everyone hates on this game is ridiculous, grow up."
Carrel16,"Jun 22, 2024",10,"️️️️️️️️ i love this game and ellie is a 10/10
I love her teeths and her ear"
Jeremyaz001,"Jun 19, 2024",10,[SPOILER ALERT: This review contains spoilers.]
Reysinnombree,"Jun 19, 2024",10,"Crudo y viceral como la vida misma. Me encanto que el juego no apesta a testosterona y es una visión femenina sobre el caos y la venganza.

Mi juego favorito de PS4 sin duda alguna! Gracias naughty dog por darle visibilidad a la comunidad LGBI y por crear historias reales."
jobomb,"Jun 19, 2024",3,"Solid step up in gameplay mechanics and the graphics are amazing. But the writing is just the biggest let down, and the theme is in complete disconnect with the gameplay and direction. You can't make a game about ""violence am bad!"" and then make an on the rails experience that is purely murdering everyone you come across. There's a stealth mechanic in the game, but instead of exploring the theme of ""VIOLENCE AM BAD!"" as the player and maybe trying to avoid conflict as much as possible, most of the game requires you to brutally kill people and the stealth mechanics just enhance that. It's crap direction and the writing is awful."
Elbicho07,"Mar 7, 2024",10,"Obra maestra en todos los aspectos personajes, historia,gráficos, jugabilidad simplemente perfecto"
Exxhy,"Jun 18, 2024",0,"Modern political propaganda on every single scene and dialogue, I can't **** believe what they did to the story, great gameplay can't save this garbage.

This is what these these people do, can't create a good thing on their own so they go and butcher a successful franchise, Witcher, Star Wars and Lord of The Rings all over again

Neil Druckmann, remember that name and buy nothing with his name on it"
Alejandroemix,"Jun 17, 2024",10,[SPOILER ALERT: This review contains spoilers.]
JackGilbert,"Jun 15, 2024",10,"I absolutely love this game. The gameplay and aesthetic build upon the first and are absolutely phenomenal. And, controversially it seems, I think the games narrative is phenomenal and genuinely moving. I also liked the abby section (which seems to be the dividing aspect of this game)"
uglyaesthetic,"Jun 13, 2024",9,"Don't really understand how people dislike this game. I get that everyone's protagonist dies, but the plot was well made in my opinion."
MquezadaC,"Jun 13, 2024",10,[SPOILER ALERT: This review contains spoilers.]
Tttevordbxn,"Jun 12, 2024",1,[SPOILER ALERT: This review contains spoilers.]
ifi_kont,"Jun 12, 2024",9,Nomatter what other people say this game is **** it is very sad but something that people dont understand is that because something is sad it doesn't mean that is **** game makes you think and gives you  many imporntant messages about life (like for examle to always look at both sides of the coin). The reason why you can receive so many things from this game is the same reason why it is sad; because it is a REALISTIC game which is based on the trauma that someone is going through and the way of healing from it. Overall it is one of the best games that i have ever played for a lot of reasons. Only thing that ia would change is that i would like to  play a bit less as Abby.
Cenk311,"Jun 12, 2024",0,[SPOILER ALERT: This review contains spoilers.]
matzu95,"Jun 11, 2024",2,[SPOILER ALERT: This review contains spoilers.]
KScyther,"Jun 10, 2024",8,"Overall great game. I liked the character of abby, after giving it a thought. However myonly reason for not giving it 10 is mainly because ellie's sexual orientation. Its just weird to like her. Its so weird two girls making out, it takes away her identity of being potrayed as a strong female."
yezwi,"Jun 9, 2024",10,"Una buena secuela diga lo que se diga siento que la forma en la q transcurre la historia es perfect el punto bajo q le veo al juego es que no termino de empatizar con abby aun viendo todo por lo que paso para mi no me llego a conectar tanto con el personaje, despues en ambientacion escenarios y graficos musica es el punto fuerte del juego no decepciona en casi nada y el final con el flashback de joel es cine puro 10/10"
Ilovenarwhals,"Jun 6, 2024",10,[SPOILER ALERT: This review contains spoilers.]
Godzilla700,"Jun 5, 2024",0,"Sorry, i really tried to like this game. Graphics are awesome but the whole Abby Part ****..."
AAADoesntExist,"Jun 4, 2024",5,"Such a waste of time. How do you pace a game so horribly. I was going to play a video game and instead was watching a bad movie. Horrible combat, horrible melee design, a pipe wrench breaking after four hits, okay. Save yourself some money."
Dady121314,"Jan 21, 2024",0,[SPOILER ALERT: This review contains spoilers.]
Abexius,"Jun 3, 2024",1,[SPOILER ALERT: This review contains spoilers.]
Anastasia669,"Jun 3, 2024",10,"Un juego bastante bueno y bien hecho para el año en el que salió, todos esperábamos otro desarrollo y final, pero es un gran juego."
Brok3888,"Jun 2, 2024",1,"Lixo,lixo,lixo, horrível, horrível, horrível, horrível, horrível, horrível, horrível"
LitoPerezito,"Jun 2, 2024",10,"Even though I admit I would've preferred this game's story to be all about Ellie and Joel's next journey, I can't help but love this game.
The bond they created throughout the first game is what makes it so special to me, and left me wanting more, so this sequel broke my heart in a million pieces the first time I played it.

Fortunately, this sequel still offers some moments of them together, but emotionally, the game will take from you more than it'll give you.
 
Either you love or hate where the story of this sequel goes, you have to admit it's a masterpiece. The amount of work the team put into this game is crazy. I'm going through it again for the third time, readying myself for another 24 hour playthrough. The first hours still breaks my heart and hurts like hell, but exploring and surviving the world of The Last of Us Part II feels great no matter how many times I replay it. 

The characters, the writing, the graphics, music and sound design borders perfection, and makes every single hour spent playing this game be worth it."
Ellieqwpjoel,"Jun 1, 2024",10,[SPOILER ALERT: This review contains spoilers.]
Swiss_gamer05,"May 31, 2024",0,[SPOILER ALERT: This review contains spoilers.]
Asirpa01,"May 30, 2024",2,"The history is mediocre, the gameplay and graphics is impressive. if they make a part 3, i really hope isn t about abby"
TheFlipperTitan,"Feb 20, 2024",0,[SPOILER ALERT: This review contains spoilers.]
Spay,"May 28, 2024",10,The story really worked for me. And the gameplay and graphics are just a beautiful and brutal companion to it.
Videoyugador,"May 27, 2024",10,"Obra maestra como pocas, jugabilidad exquisita, historia valiente aunque con algunos fallos en su narrativa. Música soberbia, desarrollo de personajes brutal y gráfica y técnicamente ESPECTACULAR. Pocos juegos a día de hoy se ven mejor."
itsShazam,"May 27, 2024",0,"when i finished this game i was like ""did i just the worst game ever?"" its crazy to think this games predecessor was one of the greatest games oat. Neil you missed out hard on this on, was hyped like crazy when i first saw the gameplay trailer but turns out this is one of the worst experiences in my whole entire life!!!!!!!!!!"
GalientG,"May 26, 2024",10,"This game is honestly perfect, the story, the themes, the gameplay, the characters ect. Everything is perfect. It's a lot longer than the first but the journey is fun and the story engaging the whole way through"
JupiterWard,"May 26, 2024",10,[SPOILER ALERT: This review contains spoilers.]
nmsman,"May 26, 2024",1,"its just a really bad game, bad story, joel dies so nothing is worth it tbh…."
SuperSorvete,"May 25, 2024",10,"Acho que não existem palavras suficientes no mundo para descrever o quão incrivel foi a experiência de jogar The Last of Us parte II pela primeira vez. Sem dúvidas uma obra de arte atemporal, que segue sendo comentada (pelo bem ou pelo mal) até 4 anos após o seu lançamento. 

O jogo que é o pesadelo de qualquer nerdola, e o amor de qualquer pessoa mentalmente sã."
Sonysta_do_mal,"May 24, 2024",10,"Melhor jogo do mundo!!!! Goty merecido!!!!
É melhor que qualquer jogo falhado da Microsoft, Microsoft é lixo, um horror!Playstation émelhor em tudo!"
tamikbron,"May 23, 2024",2,"The story is painfully bad. Surprise full frontal nudity, animal cruelty and other unpleasant forced moments. Repeating puzzles and mind numbing plot.

The graphics are nice"
Jumar0o0,"May 23, 2024",3,[SPOILER ALERT: This review contains spoilers.]
maliusf,"May 22, 2024",10,"Una obra maestra. La historia, el gamplay super divertido y te genera unas emociones increíbles"
Raruno,"May 22, 2024",10,Obra maestra. No mucho más que añadir. Es el juego que roza la perfección. Una historia cruda que hace que todo se te remueva por dentro. Simplemente perfecto!
DerRapha,"May 21, 2024",4,[SPOILER ALERT: This review contains spoilers.]
BRKsCACA,"May 21, 2024",10,"The Last of Us Part II é o ponto alto do PlayStation 4. O enredo é polêmico, mas o jogo é a aventura incrivelmente viciante de Ellie, da qual é impossível fugir desde a abertura até o fim."
Coopaloop99,"May 20, 2024",1,"The gameplay and sound design are top notch. The writing is surprisingly awful considering how great the first game is. Infected in this game are an afterthought. This is a 25 hour game with 3 hours of gameplay, and 22 hours of contrived teen drama in the zombie apocalypse. Naughty dog, you really dropped the ball on this one."
harrii,"May 19, 2024",10,"Super late review, but I absolutely loved playing TLoU Pt II in 2020, the story is phenomenal and the gameplay is just outstanding! The characters are very well written and enjoyable to play. Love Ellie and Abby!"
Haryyy2008,"May 16, 2024",10,[SPOILER ALERT: This review contains spoilers.]
rubyrouselim,"May 12, 2024",10,"If you can look past through what the secondary character (you will forced to use her half of the game) have done in the beggining and just play it , this game is really one of the best single player campaign that you will ever play , they put in a little human psychological aspect on it , the length is long and make your every penny worth it , if you like a character death intense feeling and scene from the last of us 1 , this one have a lot more (and even more impactful feeling)"
Joel3838,"May 11, 2024",4,"A história é uma merda e o final é uma porcaria, melhoraram tudo comparado a o jogo de 2013 mas pecaram na história com muita lacração e um final bunda"
Pirupati_69,"May 8, 2024",10,"Este sem dúvidas pra mim é o melhor jogo já feito, ele te prende, cria uma atmosfera tensa, uma sensação de que ninguém esta seguro, o jogo entregou o drama perfeito, entregou uma ação perfeita, ótimos diálogos, ótimas cenas, ótimas trilhas, ótimos gráficos, ótimas dublagens, enfim é uma obra prima, jogabilidade que te prende, os gráficos que encantam, a história é ousada e pra mim é o ponto forte, personagens bem construídos e carismáticos, simplesmente 10/10."
Szan,"May 8, 2024",0,"I can't fathom why they would kill of one of the best videogame characters in such a horrendous and pointless way, then destroy the character of the other one.
There is nothing likeable about this game. It deseprately tries to shove political ideas down your throat, while giving absolutely nothing you can enjoy.
RIP the Last of Us franchise..."
Gfane,"May 7, 2024",0,"The worst conceivable direction for this story and it's characters. Quite literally, the worst RPG I have ever had the misfortune of playing. Hauntingly bad."
PineconeEsque,"May 6, 2024",10,"Improves on the gameplay of part 1 significantly, the combat scenarios are excellent, and the gameplay is much smoother.

As for the story, controversial, but they needed to go hard, as part 1 didn't need a sequel, and had a great ending. They nailed the story, and in my opinion made a game that succeeded the original."
Ruften,"May 5, 2024",0,Killing the main character in the most worthless way possible. Insert strong independent female character. The story looks more like a teenage reality tv episode. Ellies **** by the way. What an uplifting game. Why cant we have nice things anymore. Current gaming is in a sad state
Salsar,"May 4, 2024",0,Shoving this game in Neil **** ass is more realistic and in character more than the entire critically acclaimed **** of the year
somovbiu,"May 3, 2024",0,Woke Dog can go **** themselves with their crap. Hire some writers with real talent and come crawling back to your former fans.
velvet3921,"May 2, 2024",0,This game is the most unpleasant and disgusting game I've ever played. It seems like an arrogant developer considers insulting game fans an artistic endeavor.
omnium,"May 1, 2024",0,"The Last of Us 2 is my most hate game, along with Horizon Zero Dawn. These games degrade and infringe upon the advancement of video games."
Yagamyless,"Apr 30, 2024",0,[SPOILER ALERT: This review contains spoilers.]
nhalak1233,"Apr 30, 2024",1,"It's such a bizarre piece of work. That's because it's so hard to understand why Joel, who was so loved in the first film, was treated so cruelly, and looking at the entire story, there's a lot of malicious direction."
Fawlcon,"Apr 29, 2024",2,"Good to great gameplay.  Horrible over-the-top violence, no one to like or root for.  People with no moral compass might like being led through a narrow story, but not me.  Looking back, this is DEI.  Meaning, that developers want to show a STRONG female protagonist, ambiguous morality, and tell the stories THEY want to tell without letting the players have input.  Almost all developers are uber-liberal, however, the good ones still respect the player base who do not have the same worldview.  Sure the story can end the way the writers want, but good writing can give you different moral paths to get there.  BG3 is the pinnacle of this."
EnglishMuffin22,"Apr 29, 2024",10,Brilliant and fantastic game that continues the legacy from the first game.
daDabush666,"Apr 25, 2024",0,Moviegame but the movie is bad. Watch the cut scenes on YouTube if you want to experience this critically acclaimed goty.
batman4lifers,"Apr 25, 2024",10,great game with so much attention to detail. could easily go on and on about why this game is so good!!
Samvel888,"Apr 24, 2024",10,"лучшие эксклюзивы и в принципе лучшие игры за всю историю индустрии
Которые научили меня многому"
korcze,"Apr 24, 2024",1,"Why does Just a Game company try to teach disgusting stuff to ppl??
If I say so, they would say Im uneducated lol  I finished my uni tho 

gameplay was great but they tried to put too much weird idea and stuff..

They have to learn from Japanese game companies or Koreans."
Erickmarley7,"Apr 23, 2024",10,[SPOILER ALERT: This review contains spoilers.]
OfficerKrapo,"Apr 23, 2024",8,"overhated game, loved the story, loved abby, loved ellie, loved the gameplay"
fpeleca,"Apr 22, 2024",9,"Great gameplay, graphics and sound, I just loved every moment of its terrifying action. The story takes an unexpected direction and it's really good; it could be a bit shorter, though, it's too long at some points.
 
Overall, a great continuation that makes justice to the masterpiece that is the first game."
LukeTilley,"Apr 21, 2024",6,The Last Of Us Part 2 has ideas in the game that could have been great but are ruined by poor execution and a wonky drag paced structure while having some beautiful moments and eye pleasing visuals to save it from falling in the dumpster.
Beautifulyinsan,"Apr 19, 2024",10,"its polarizing, it was much more high brow then I expected, but equally worth my time which is great because the time can be double what the first games is. where the first game I would leave with a good 15 hour adventure that hit me hard enough to become my 6th favorite game of all time. here It took me a pretty beefing, and visaral adventure of 27 hours. and I don't think I got wasted, and I'm gonna elaborate on why I said ""high brow"". this story is intimidating to say the least, it has so much to it. the dual character perspective, the large amount characters that are all completely individualized meaning that they are all emotionally complex, and the story also forcing you to value every little detail of how these character really, REALLY would start to loss there sanity. It values the most detailed and purposeful detail that it either. 1, becomes one of the most brutal modern stories of the current era, or 2 is an absolute mess and is a dog that should have been put out of its misery. bad pun, sorry. but that's what this game's big catch of this game that will make or break your play, the story, where the gameplay is just as brilliantly designed, tight and creative, along with some very interesting dynamic combat changes, like Smarter enemies and proning. I will say though, if you are patient and look even deeper then others, you will be honestly proud of your experiance. its just not gonna be easy like it was for me."
Jimcarrey90,"Apr 19, 2024",0,"I think the game got lost with Joel's relationship with Elie, in The Last of Us 1 is very well explained, 2 adding a villain out of nowhere and not building Joel and Ellie anymore, it destroyed an incredible game"
Naosei12,"Apr 19, 2024",0,"Acho que o game se perdeu com o relacionamento do joel com elie,no the last of us 1 é mt bem explicado,o 2 adicionar um vilao do nada e nao construir mais o joel ea ellie,destruiu um incrivel game"
Hydrochoos,"Apr 19, 2024",3,"Honestly, I hate the game. It's not fun at all, it's like work. I don't need anything like that in my free time. Completely contrary to the first part, a shame :("
Epico,"Apr 18, 2024",4,"TLOU is in the top five of my favourite video games of all time, and has a special place in my heart. It's no wonder then that the narrative is particularly important to my experience when expecting the same plot twists and dramatic tones. There's something wrong about the way the story is told, to be more precise its experimental structure that failed miserably. I also didn't appreciate the melodramatic way of conveying a simple message ad nauseum just so that the ending feels redundant and sprinkled with hipocrisy. Also weighing it down is a level design that has moments where it seems bloated, and puzzles that border on mediocrity at times. The only reason I can give it this grade is because the gameplay still manages to be brutally entertaining, and there have certainly been some improvements compared to the first instalment."
Mohamedhaoues,"Apr 16, 2024",0,[SPOILER ALERT: This review contains spoilers.]
kaoque,"Apr 15, 2024",0,"O primeiro jogo foi muito bom, mais esse 2 é simplesmente uma decepção, não gastem dinheiro com isso"
ouizzy,"Apr 15, 2024",10,"The best story driven game I ever played. I was weeping like a child at the end of the game. It makes you feel stuff no video game should be allowed to make you feel. Anger, frustration, sadness, compasion,  almost any emotion you can feel expect happiness (only in part 2). If you want a game to destroy you emotionally (kind of in a good sense) play this series."
narkkari,"Apr 12, 2024",6,[SPOILER ALERT: This review contains spoilers.]
Leonardo47,"Apr 11, 2024",1,"Joel was in here for 20 minutes, which is why I’m generously giving this game a 1. Otherwise the rest is a solid 0, I honestly cannot think of a high point after Joel died. If you want a great game with an amazing story, do not go within 5 feet of this game."
Spxrk0300,"Apr 11, 2024",0,"Terrible game and story. The pacing, plot and characters are all bad. Ending is even worse. Do not buy this game. “Buy at your own risk” type of game, I would rather play Superman 64 on an N64"
AnonymousAnal,"Apr 10, 2024",10,"Masterpiece.  An outstanding level of detail. Great story telling. Amazing animations and combat features. people might disagree on how the story should have went, I also might want it different. But that doesn’t change the fact it’s not just one of the greatest games of all time. 10/10"
Kian666,"Apr 7, 2024",0,[SPOILER ALERT: This review contains spoilers.]
non-A-gy,"Apr 7, 2024",10,"It had great gameplay, drama, and ****'s definitely a masterpiece and has touched my heart many times, but the story is so heavy that I don't think I'll ever play it again."
nexustwelve,"Apr 6, 2024",7,"Игра очень спорная конечно, но эмоционально проект воспринимается мной очень хорошо, не смотря на достаточное количество спорных, сюжетных моментов...от поведения персонажей до попыток сценариста вызвать у тебя эмоции по средствам манипуляции. Жаль, что в конце не дают сделать ключевой выбор и концовка одна. Я конечно понимаю, что ""Он художник, он так видит"" , но мне кажется предоставить выбор игроку стоило...В плане геймплея нареканий нет, графически игра тоже выглядит довольно неплохо, местами даже очень хорошо и эффектно."
Ragnar91,"Apr 6, 2024",10,"Un gioco che ti tiene incollato al pad per tutte le sue ore di gioco! Soprattutto per la storia! Gameplay alla lunga un po' ripetitivo,ma che nonostante tutto,penso sia uno dei migliori giochi per la play! Da giocare assolutamente!"
Ahmed_3,"Apr 6, 2024",1,"I agree with the hate that the game got , because the story sicks but the gameplay is awesome
in making ellie **** for no reason make the game more bad"
akurmy2,"Apr 4, 2024",3,"The pacing and storyline are terrible. The game was a major major disappointment over the First part. The first part was so good that I always reminisce the very first time I got to play the first part of this franchise. Had high hopes from this sequel. But. To be plainly blunt, it fell flat on its face. And the disappointment for me doesn't stem merely from Joel's death and the inability to play him. I don't also have an iota of problem with the LGBTQ narrative pushed by the game, though at times it is a bit annoying. The main problem with the game is its terrible pacing, lack of interesting and memorable characters, bad overall storyline and non-believable moments. Could have given it a 4 but giving it a 3 because it just **** the very high hopes I had from this sequel because of the first part."
SevSantana,"Apr 4, 2024",0,If I could give lower rating I would. This is probably one of the biggest gaming disappointments in my life. I wanted it to be good so much but it’s just so bad. Full of sjw western propaganda & I hate it
Thrasher19,"Apr 1, 2024",10,"An absolut masterpiece and probably the best story driven videogame made so far. The characters all follow their motivations in believebel ways and the writers didn't shy back from the inevitable consequences their decisions bring with them. The acting is impeccable and the grafics are some of the best you can expect from this generation of gaming. Don't miss out on this game because of the mixed user reviews. The negative reviews are absolutely underserved and written by people who can't appreciate honest writing and prefer stories that go exactly the way they expect. NaughtyDog has done an incredible work here and has done so much for videogaming as a storytelling media. If you're not sensitive to difficult topics and demonstration of violence in games, this is an absolute must play for you."
penge2,"Apr 1, 2024",10,[SPOILER ALERT: This review contains spoilers.]
MallDuty,"Apr 1, 2024",8,Good game. Bit better than first one. Still one of the best Playstation exclusives. There's a lot of better games out there.
ofcljamie,"Mar 31, 2024",2,[SPOILER ALERT: This review contains spoilers.]
Simas1921,"Mar 29, 2024",10,Grafico melhorou e gameplay tambem. Joel morrer faz parte mas a abby nao ter morrido estragou um pouco da jogatina. Mesmo assim nao deixa de ser uma obra prima.
silentissad,"Mar 26, 2024",0,[SPOILER ALERT: This review contains spoilers.]
Charlytaquitos,"Mar 26, 2024",10,"Avalancha de misiones, Es la única forma en la que se puede describir.
Definitivamente tienes que jugar el primero.
Reconozco muy bien hecho el juego, pero me ha hecho enojar tanto.
Realmente me duele el comienzo y me hace enojar el final.
 Aunque no me gusta la historia reconocer que es una digna secuela.
Y jugablemente es de lo más satisfactorio que hay en la vida.
La forman en que matas es simplemente de lo mejor."
Theblindgoon,"Mar 24, 2024",8,[SPOILER ALERT: This review contains spoilers.]
yukitsuki,"Mar 24, 2024",7,いろいろ問題視されているキャラクター設定やストーリーなど、気になる部分は確かに多かったが、ゲームとしての品質は高く、やり始めたら最後まで一気に遊んでしまった。
jrafinhasm,"Mar 24, 2024",10,"This game changed my life.

Thank you for everyone who created this masterpiece."
asdfghjklz,"Mar 22, 2024",1,Really dissapointing game. I wish I'd spent my game money on something else.
S79,"Mar 21, 2024",9,Still an amazing game but the story was a bit harder to get immersed in and I had real problems that you couldn't avoid killing the dogs sometimes... I know... I don't blink about killing people in these games but killing dogs... that was hard :-P
KaizReview,"Mar 21, 2024",0,"I played this game on release and reviewed it but it got deleted because everyone review bombed it. I feel so passionately about how badly they messed up the game that I came back years later to say how truly awful this game was. Not only was it an utter disgrace to the original game, but it manages to have the worst storyline of any game I've played in recent years. I'm sorry if you played this trash."
Legend224,"Mar 21, 2024",10,[SPOILER ALERT: This review contains spoilers.]
criticdudeguy,"Mar 20, 2024",10,"I think people compare Part 2 to Part 1 too much and forget the type of world Joel and Ellie live in, also the story was fine in my opinion again I think people just compared it to Part 1 and didnt expect to be playing with a character they didnt know prior to Part 2 but I like the addition of Abby and the story does a great job of including her if you take bias from Part 1 out of it and look at it for what it is"
Jexxss,"Mar 19, 2024",10,[SPOILER ALERT: This review contains spoilers.]
omrkcmn,"Mar 18, 2024",7,"For the next game I'm expecting ga*y joel, zombies having sex with a goat, persecuted Jews, a tiger making love to a bear and lots of cute lesbians. Thanks Ndruck*man. Oh, and how's the game? It's like my five-year-old nephew's made-up revenge story. But the environmental design is marvellous. I can't say anything about that."
santiagod,"Mar 18, 2024",4,no esta tan mala pero esperábamos que estuviera al menos a la altura de la parte uno y ni le llega a los talones
Serozone,"Mar 15, 2024",10,Together with RDR2 THIS is the best game ever made and is such a beautful thrilling ride and a total must play for all!
xgdy,"Mar 14, 2024",9,The story is kind of bad compared to the first game but the gameplay is awesome.
FKa192,"Mar 14, 2024",10,"Um dos melhores, senão o melhor jogo já feito. Ele faz com que a coragem do diretor no final do primeiro jogo pareça algo até mesmo infantil, pois os assuntos e a maturidade com que os temas são tratados aqui são distintos de tudo o mais que se possa ver em qualquer mídia da atualidade. Gráficos formosos, hinos no lugar de trilhas sonoras, a melhor captura de movimentos da indústria, personagens marcantes, enredo corajoso e uma jogabilidade tão boa quanto a do primeiro fazem dele o jogo mais marcante que já joguei. Só jogue se você não estiver a procura de vilões a quem culpar e estiver buscando uma experiência do que é o ser humano verdadeiramente nos seus limites e dilemas. 
Ponto negativo vai para a gameplay que pouco de diversifica durante a longa jornada do jogo.
Diferente do anterior não espere uma jornada sobre amor, aqui, o tema é o ódio, então se prepare para o penar."
flippydippy2,"Mar 14, 2024",10,"The game is phenomenal. Not your standard game but an experience. It'll make you feel like a smooth criminal. It'll make you feel like a sharpshooter. It'll make you mad, yeah, that's what it MEANS to do. It'll make you sad. It'll make you think and REFLECT about the world we live in. But I can assure you once you beat it you'll feel empty because there is no other game like it.

The mechanics are a work of art, the actors gave it their all, the graphical fidelity is uncanny.

Bigots will complain about ""the woke agenda"" because they have no other argument and lack the mental capacity to conceive of one. Like it or not, GAMERS, EVERYONE FROM ALL WALKS OF LIFE games. Not just bigoted 12 year olds. If you see a review that says ""woke"" ""agenda"" ""SJW"" or the like, you can pretty much disregard it knowing the user who posted that review is just being emotional.

Ironic, isn't it, that this game is so divisive to gamers (some so very EXTREME) when its narrative is set in a warring faction-filled post apocalyptic world... play it - the reality of their world rings true to ours... doesn't it?"
win5,"Mar 14, 2024",2,"i dont like how the story.. its really sad how media review is so bias.. i mean its very disrespectfull to the original tlou 1, they so disconneted with their fan base."
FEL0,"Mar 13, 2024",10,At first i thought that game was mid or even bad but after couple minuts and hours i think this game is masterpice. This game shows that revenge at all cost can't bring you nothing good and only pain and suffer this game is not for everyone it's like great movie but with hard ending and story that you need to think about and then you start to apriciate that kind of media
DarthKirby,"Mar 12, 2024",4,"This game has many problems the biggest one being it didn’t need to be made. The first game has a great ambiguous ending and this game ruins that. Gameplay is fine but nothing special and the story has terrible pacing issues and the story has some truly weird and bad choices. Graphics wise it looks great, in fact one of the best looking games ever made but eye candy won’t make up for the fact the story is bad and the gameplay is mediocre."
Kurama_Hakusho,"Jan 31, 2024",4,[SPOILER ALERT: This review contains spoilers.]
E-perBread,"Mar 12, 2024",1,"This game got better gameplay, better graphics, and got better in everything expect the story. The writer hated these characters from the start. Now that in part 2 got full control, he destroyed this characters. I refuse to believe this is an official game. This game does not exist. My Ellie and Joel is still at Jackson in part 1. Worst game of my life, worst story of my life. Everybody can be a writer these days..."
RojoMaster,"Mar 12, 2024",10,"Una completa obra de arte, dioooos es bellísimo este juego de lo mejor que he jugado, una joya"
ZarkisMulki,"Mar 10, 2024",1,"Horrible sweet baby inc game, what do you want me to say? go put your disgusting agenda in somewhere else, so happy I just borrowed the game and I did not pay for this piece of gargabe"
mano133,"Mar 10, 2024",10,[SPOILER ALERT: This review contains spoilers.]
